# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = timeseries_model
# start_datetime = 2023-01-12 14:23:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\timeseries\timeseries.data.R
# init = 2 (Default)
# random
#   seed = 2911287628 (Default)
# output
#   file = examples\timeseries\timeseriesMCMC5k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,lambda
# Adaptation terminated
# Step size = 0.215188
# Diagonal elements of inverse mass matrix:
# 0.0174309, 0.00136732, 0.152602
-18.917,0.803655,0.215188,2,3,0,21.3414,-1.89426,0.635369,0.346242
-24.8127,0.938878,0.215188,3,15,0,27.1919,-1.10796,0.443558,0.589228
-24.4485,1,0.215188,2,3,0,25.1026,-1.14012,0.438301,0.586663
-17.9555,0.663249,0.215188,4,15,0,29.5434,-1.7862,0.690885,0.396919
-18.8816,0.864434,0.215188,4,15,0,19.3168,-1.62992,0.589279,0.425572
-18.529,0.956162,0.215188,4,15,0,19.6303,-1.9537,0.696546,0.36015
-18.7618,0.68865,0.215188,4,31,0,24.7412,-1.24052,0.621809,0.56614
-20.41,0.9826,0.215188,4,15,0,21.1865,-1.88945,0.836026,0.391022
-20.9181,0.925228,0.215188,3,7,0,23.2791,-1.82554,0.871469,0.397683
-20.6133,0.924598,0.215188,2,3,0,21.2836,-1.82136,0.859064,0.41183
-18.6726,0.964,0.215188,3,7,0,21.4025,-1.73363,0.760506,0.402814
-18.3308,0.994236,0.215188,4,15,0,19.0041,-1.35493,0.641098,0.521976
-17.9301,0.829689,0.215188,3,13,0,20.6766,-1.78896,0.637151,0.398205
-18.1142,0.887766,0.215188,4,19,0,18.7865,-1.32651,0.734826,0.572767
-18.4401,0.936199,0.215188,4,19,0,20.2059,-1.92609,0.687133,0.380235
-18.1988,0.787977,0.215188,4,19,0,20.3389,-1.34523,0.633851,0.533355
-18.3648,0.922173,0.215188,2,3,0,19.0238,-1.36994,0.601676,0.544778
-18.4031,0.922415,0.215188,4,23,0,19.2009,-1.4969,0.58245,0.513453
-18.3603,0.986535,0.215188,4,15,0,18.5506,-1.48026,0.581332,0.498469
-19.4941,0.82367,0.215188,4,23,0,20.901,-1.11835,0.703611,0.584492
-18.5144,0.997747,0.215188,2,7,0,19.5792,-1.18724,0.707623,0.579647
-20.1915,0.952098,0.215188,3,15,0,21.1983,-1.03743,0.805173,0.672447
-20.9374,0.960534,0.215188,2,3,0,21.0061,-0.885686,0.803519,0.66695
-17.7739,0.994816,0.215188,4,15,0,21.9555,-1.6778,0.625709,0.455092
-18.6874,0.974967,0.215188,3,11,0,20.3385,-1.68106,0.546233,0.444492
-19.655,0.679972,0.215188,3,11,0,22.6995,-1.95185,0.721308,0.325369
-18.654,0.852326,0.215188,5,31,0,20.9739,-1.97565,0.623694,0.3643
-22.5136,0.978558,0.215188,4,15,0,26.2327,-2.11281,0.429759,0.298044
-22.9045,0.900843,0.215188,3,7,0,23.4404,-2.05016,0.426565,0.299414
-23.4918,0.99808,0.215188,4,15,0,24.825,-1.95653,0.395731,0.382422
-20.2732,0.925253,0.215188,4,15,0,26.5619,-1.57218,0.833363,0.437331
-20.8854,1,0.215188,3,7,0,21.8981,-1.55872,0.906677,0.480263
