# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-01-12 08:41:24 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\bernoulli\bernoulli.data.R
# init = 2 (Default)
# random
#   seed = 2890771183 (Default)
# output
#   file = examples\bernoulli\bernoullivar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,theta
# Stepsize adaptation complete.
# eta = 1
0,0,0,0.217458
0,-6.91978,-0.0535146,0.181909
0,-7.11555,-0.191143,0.154224
0,-7.67294,-0.709287,0.109866
0,-7.69935,-0.736851,0.108347
0,-6.75083,-0.0578223,0.259452
0,-7.8119,-0.856833,0.102243
0,-7.39332,-0.873577,0.406159
0,-6.77231,-0.115241,0.278199
0,-6.89227,-0.302864,0.320774
0,-8.82475,-2.22454,0.539101
0,-7.54658,-0.580658,0.117653
0,-6.81774,-0.195466,0.29849
0,-6.75083,-0.0577981,0.259442
0,-7.07682,-0.161102,0.158781
0,-7.78638,-0.829274,0.103579
0,-6.81881,-0.00598162,0.205043
0,-8.28962,-1.73994,0.497643
0,-6.93811,-0.0645538,0.178671
0,-6.77022,-0.00170095,0.224297
0,-7.45401,-0.490071,0.123994
0,-7.01309,-0.114312,0.167096
0,-6.81349,-0.00447662,0.206686
0,-7.12987,-0.202516,0.15262
0,-6.74864,-0.045426,0.254424
0,-7.05207,-0.142511,0.161878
0,-6.84341,-0.0147152,0.198223
0,-7.91645,-0.97175,0.0970467
0,-7.41386,-0.451814,0.126942
0,-6.86224,-0.261538,0.312657
0,-6.75253,-0.0150602,0.238253
0,-7.04954,-0.140645,0.162202
0,-6.78556,-0.141086,0.285247
0,-9.17952,-2.5875,0.0556911
0,-9.48402,-3.03407,0.0493094
0,-8.3051,-1.7542,0.498943
0,-8.23711,-1.3436,0.0833606
0,-6.87458,-0.27876,0.316099
0,-7.53197,-1.01499,0.423188
0,-7.28592,-0.334499,0.137303
0,-6.7612,-0.0900828,0.270652
0,-7.31794,-0.36316,0.134556
0,-6.75059,-0.0193267,0.241115
0,-7.22567,-0.281936,0.142801
0,-6.75122,-0.0177515,0.240096
0,-6.75646,-0.00964985,0.233997
0,-6.87205,-0.275267,0.315408
0,-7.04852,-0.497175,0.354099
0,-6.75157,-0.0609201,0.26063
0,-7.20474,-0.264122,0.144824
0,-7.33079,-0.374804,0.133484
0,-6.75412,-0.0125276,0.23637
0,-7.08977,-0.171024,0.15722
0,-6.91484,-0.332777,0.326371
0,-6.81438,-0.00471764,0.206406
0,-6.9088,-0.0471634,0.183949
0,-6.74819,-0.0309946,0.247705
0,-6.78031,-0.00010782,0.219166
0,-6.90288,-0.0438318,0.185082
0,-6.85836,-0.256043,0.31154
0,-6.9849,-0.421121,0.34182
0,-6.8423,-0.0142683,0.198507
0,-6.7745,-0.000754106,0.221995
0,-7.26026,-0.73348,0.388115
0,-6.82962,-0.213863,0.30261
0,-6.87769,-0.0304239,0.190213
0,-6.77903,-0.000196772,0.219767
0,-7.01222,-0.113693,0.167219
0,-6.82986,-0.00957768,0.201837
0,-6.84113,-0.0137986,0.198812
0,-6.75183,-0.0164075,0.239193
0,-7.53985,-1.02291,0.424111
0,-7.15857,-0.622545,0.372803
0,-8.39032,-1.53096,0.0777814
0,-7.73072,-0.769892,0.106588
0,-6.91666,-0.0516927,0.18248
0,-6.78565,-0.141254,0.285291
0,-7.98371,-1.04738,0.0939143
0,-6.76109,-0.0057621,0.230163
0,-7.37672,-0.856352,0.404008
0,-6.82426,-0.00768049,0.20343
0,-7.12922,-0.201998,0.152692
0,-6.9886,-0.425632,0.342572
0,-7.09202,-0.172763,0.156953
0,-6.84358,-0.0147822,0.198181
0,-8.57233,-1.7613,0.0717954
0,-6.98967,-0.426937,0.342789
0,-7.26033,-0.311941,0.139584
0,-7.40612,-0.886809,0.407799
0,-6.87101,-0.0271105,0.191668
0,-7.83811,-0.885337,0.100901
0,-6.75384,-0.0129314,0.236682
0,-7.13473,-0.206413,0.152084
0,-6.83733,-0.0123179,0.199808
0,-8.38615,-1.52579,0.0779262
0,-6.9507,-0.0724236,0.176554
0,-7.67625,-1.15839,0.439453
0,-6.74935,-0.0503498,0.256486
0,-7.11856,-0.193517,0.153884
0,-6.74898,-0.0250811,0.244543
0,-6.85358,-0.249201,0.310135
0,-9.3895,-2.89319,0.051191
0,-7.45152,-0.487677,0.124173
0,-8.57081,-1.99649,0.520255
0,-6.92392,-0.0559609,0.181161
0,-7.21604,-0.273709,0.143724
0,-7.22191,-0.278715,0.143161
0,-7.75261,-1.23302,0.447569
0,-6.74906,-0.0484739,0.255712
0,-8.26841,-1.38139,0.0821763
0,-6.89014,-0.3,0.320226
0,-6.74893,-0.0253634,0.244702
0,-6.76433,-0.00391307,0.22789
0,-6.769,-0.108203,0.276166
0,-6.74944,-0.0508499,0.256691
0,-6.76826,-0.106593,0.275693
0,-6.89357,-0.304615,0.321108
0,-7.0023,-0.106758,0.168625
0,-7.18502,-0.651796,0.376941
0,-8.20609,-1.66275,0.490515
0,-6.85948,-0.25763,0.311863
0,-6.9486,-0.376077,0.334125
0,-6.93084,-0.353484,0.330127
0,-6.75707,-0.0790517,0.267058
0,-6.75829,-0.0824508,0.268187
