# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-01-12 08:39:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\bernoulli\bernoulli.data.R
# init = 2 (Default)
# random
#   seed = 2890681867 (Default)
# output
#   file = examples\bernoulli\bernoulliMCMC10k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.04594
# Diagonal elements of inverse mass matrix:
# 0.494954
-7.1176,0.856511,1.04594,1,3,0,7.82822,0.153992
-7.11201,1,1.04594,1,1,0,7.20347,0.154627
-7.47406,0.93118,1.04594,1,1,0,7.49333,0.122568
-7.19357,1,1.04594,1,1,0,7.46238,0.145929
-6.85763,0.977462,1.04594,2,3,0,7.43018,0.194728
-8.01655,0.809664,1.04594,1,3,0,8.13144,0.09244
-6.77279,0.965738,1.04594,1,3,0,7.9381,0.222892
-7.19251,0.777673,1.04594,2,3,0,8.21025,0.146035
-8.14968,0.875776,1.04594,1,3,0,8.15269,0.0867987
-6.817,0.996731,1.04594,2,3,0,8.11429,0.205596
-6.7489,0.977446,1.04594,2,3,0,6.97644,0.244778
-6.75231,0.927994,1.04594,2,3,0,7.10788,0.261689
-7.80158,0.756476,1.04594,1,3,0,7.83451,0.452616
-7.80158,0.178077,1.04594,1,1,0,10.6284,0.452616
-8.77352,0.264318,1.04594,1,3,0,11.9806,0.0658687
-9.17041,0.987883,1.04594,2,3,0,9.36228,0.0558971
-7.49515,0.963179,1.04594,1,3,0,8.9692,0.121102
-7.58229,0.985342,1.04594,1,1,0,7.71727,0.115358
-7.58229,0.819763,1.04594,1,3,0,9.17883,0.115358
-7.70918,0.979753,1.04594,1,1,0,7.84652,0.107791
-9.37745,0.818756,1.04594,1,3,0,9.39992,0.0514371
-9.53331,0.988062,1.04594,1,1,0,9.85496,0.0483609
-8.1747,1,1.04594,1,1,0,9.38927,0.0857944
-7.00775,1,1.04594,1,3,0,7.99129,0.167849
-6.86006,1,1.04594,1,1,0,6.97917,0.194157
-7.15395,0.919115,1.04594,1,3,0,7.38785,0.372069
-7.69353,0.925559,1.04594,2,3,0,7.79655,0.441316
-7.27647,1,1.04594,1,1,0,7.68596,0.390421
-6.7716,1,1.04594,1,3,0,7.10427,0.277775
-6.78138,0.996799,1.04594,1,1,0,6.78744,0.283175
-7.80067,0.812975,1.04594,2,3,0,7.86785,0.102827
-7.26815,1,1.04594,1,1,0,7.72395,0.138878
-8.05092,0.873988,1.04594,1,1,0,8.05233,0.0909333
-7.03173,1,1.04594,2,3,0,7.73622,0.350985
-7.56858,0.921741,1.04594,2,3,0,7.62819,0.427442
-7.01414,1,1.04594,2,3,0,7.46152,0.16695
-6.88847,1,1.04594,1,1,0,6.99877,0.187951
-7.13548,0.929224,1.04594,1,3,0,7.4051,0.369092
-7.23091,0.988093,1.04594,2,3,0,7.35868,0.383852
-7.61036,0.861975,1.04594,1,1,0,7.75197,0.432188
-7.07893,1,1.04594,2,3,0,7.48154,0.359545
-8.07637,0.811975,1.04594,2,3,0,8.07637,0.089841
-7.06076,0.980114,1.04594,2,3,0,8.3935,0.160772
-6.84279,1,1.04594,1,1,0,7.00861,0.198382
-6.77689,1,1.04594,1,1,0,6.82586,0.220796
