# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = surveyunbias_model
# start_datetime = 2023-01-12 09:08:22 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\surveyunbias\surveyunbias.data.R
# init = 2 (Default)
# random
#   seed = 2892388467 (Default)
# output
#   file = examples\surveyunbias\surveyunbiasvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,bias.1,bias.2
# Stepsize adaptation complete.
# eta = 1
0,0,0,0.863283,0.486974
0,-6.11916,-0.891883,0.559915,0.656388
0,-5.83771,-0.561696,0.681862,0.290001
0,-5.81669,-0.220891,0.899105,0.30636
0,-5.34124,-0.18434,0.742044,0.44976
0,-6.27547,-0.624004,0.963273,0.577761
0,-6.56673,-0.692716,0.930617,0.207413
0,-5.5008,-0.233298,0.798213,0.663491
0,-8.23562,-2.04306,0.967899,0.108838
0,-7.24522,-1.32704,0.960516,0.822935
0,-8.35566,-2.42636,0.899713,0.93611
0,-6.45177,-0.817112,0.970815,0.557477
0,-5.28785,-0.057949,0.809814,0.538192
0,-5.7049,-0.220172,0.885366,0.680507
0,-5.72394,-0.58923,0.605615,0.543045
0,-6.41015,-0.774571,0.969805,0.54301
0,-6.63676,-1.22562,0.45902,0.372188
0,-8.042,-1.96614,0.975609,0.140351
0,-5.98247,-0.652656,0.685079,0.256475
0,-6.988,-1.10148,0.948817,0.817557
0,-6.07586,-0.426235,0.877072,0.231159
0,-5.6754,-0.129367,0.903265,0.361329
0,-6.54513,-0.846621,0.83346,0.15901
0,-7.76319,-1.85045,0.974922,0.836184
0,-6.79441,-1.20423,0.718994,0.142403
0,-5.51372,-0.248315,0.794623,0.6677
0,-5.46542,-0.253493,0.768566,0.6453
0,-7.15416,-1.59209,0.984171,0.356528
0,-6.74975,-1.09821,0.976979,0.38299
0,-5.62288,-0.472062,0.645756,0.411822
0,-8.60277,-2.61766,0.856676,0.0514118
0,-6.57625,-0.833265,0.962138,0.70686
0,-12.0542,-7.05213,0.996234,0.0413199
0,-10.5197,-4.29751,0.973334,0.0347985
0,-6.58805,-1.22336,0.454652,0.583255
0,-5.52926,-0.297289,0.769798,0.668585
0,-6.39696,-0.623013,0.892482,0.193907
0,-6.41408,-0.688895,0.956167,0.69631
0,-5.54713,-0.215814,0.827754,0.674434
0,-8.42666,-2.32206,0.97843,0.119528
0,-7.553,-1.86587,0.364596,0.684005
0,-5.46777,-0.254269,0.769191,0.646435
0,-5.7721,-0.193293,0.898821,0.318689
0,-6.36683,-1.07476,0.509875,0.649302
0,-6.30225,-0.639765,0.962601,0.605496
0,-7.61225,-2.50087,0.991808,0.483612
0,-10.267,-4.45568,0.871714,0.0221539
0,-7.21202,-1.44234,0.979096,0.267536
0,-5.3296,-0.0360385,0.839811,0.558215
0,-7.202,-1.45359,0.976873,0.74881
0,-5.86583,-0.282838,0.917022,0.673807
0,-5.62172,-0.174471,0.850731,0.31325
0,-10.5173,-3.66869,0.150394,0.521634
0,-5.79897,-0.213073,0.937104,0.505712
0,-5.85353,-0.237112,0.937508,0.42135
0,-5.68588,-0.166594,0.879704,0.318435
0,-5.82716,-0.668274,0.57837,0.490114
0,-6.80619,-1.31491,0.514869,0.235786
0,-5.97193,-0.538738,0.819961,0.770208
0,-6.68576,-1.23739,0.504536,0.270224
0,-6.50262,-0.67598,0.905647,0.18968
0,-5.36193,-0.0765443,0.831228,0.5932
0,-5.60143,-0.161322,0.85101,0.319387
0,-6.95603,-1.44202,0.407602,0.407266
0,-5.37733,-0.0737332,0.822973,0.392883
0,-6.29389,-0.587722,0.950896,0.688353
0,-6.33603,-0.671833,0.84398,0.18312
0,-5.88128,-0.278535,0.939846,0.578323
0,-6.0803,-0.718271,0.685034,0.238471
0,-5.80081,-0.602329,0.621254,0.364196
0,-5.55657,-0.271778,0.799039,0.681309
0,-7.29423,-1.65888,0.496286,0.182376
0,-7.80084,-1.80197,0.976765,0.167027
0,-5.91949,-0.607664,0.749432,0.756198
0,-5.85086,-0.354488,0.870137,0.731083
0,-9.60167,-5.03248,0.996753,0.176343
0,-9.52865,-3.62519,0.506812,0.049756
0,-7.65933,-2.10986,0.986563,0.739818
0,-5.53048,-0.252745,0.799279,0.673269
0,-6.72938,-0.881429,0.963089,0.263377
0,-8.59281,-2.84037,0.986679,0.858897
0,-5.92575,-0.653827,0.647381,0.294133
0,-6.89006,-1.46069,0.589079,0.826463
0,-5.35529,-0.0700045,0.817677,0.403718
0,-5.29679,-0.017601,0.831977,0.475661
0,-5.70758,-0.539603,0.629033,0.395654
0,-6.87551,-0.946641,0.909163,0.152148
0,-5.6309,-0.329267,0.796423,0.701927
0,-6.32034,-0.542781,0.908433,0.216916
0,-5.71819,-0.167713,0.924482,0.577102
0,-6.67485,-0.937176,0.966743,0.703825
0,-5.91173,-0.474074,0.785519,0.239397
0,-6.88854,-1.38198,0.455483,0.296421
0,-6.22647,-0.599204,0.84061,0.196005
0,-6.20332,-0.520542,0.949715,0.666249
0,-7.74296,-2.22845,0.988519,0.273983
0,-6.73817,-0.911762,0.950269,0.781195
0,-8.97319,-2.77982,0.327477,0.150745
0,-8.99998,-3.23235,0.728109,0.0419469
0,-7.08492,-1.56447,0.416658,0.678108
