# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = surveyunbias_model
# start_datetime = 2023-01-12 09:07:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\surveyunbias\surveyunbias.data.R
# init = 2 (Default)
# random
#   seed = 2892334200 (Default)
# output
#   file = examples\surveyunbias\surveyunbiasMCMC5k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bias.1,bias.2
# Adaptation terminated
# Step size = 0.950364
# Diagonal elements of inverse mass matrix:
# 1.73654, 1.01319
-6.73249,0.983943,0.950364,2,3,0,7.09187,0.601715,0.81453
-5.35857,1,0.950364,2,3,0,6.90902,0.725358,0.465873
-6.083,0.83237,0.950364,1,3,0,6.19771,0.627091,0.273942
-6.0561,0.974703,0.950364,2,3,0,6.61064,0.94264,0.349923
-5.57694,0.934231,0.950364,2,3,0,6.27859,0.775146,0.315355
-5.69856,0.973518,0.950364,2,3,0,5.84955,0.777792,0.716826
-5.91483,0.924851,0.950364,2,3,0,6.10868,0.905483,0.290497
-5.30774,0.993595,0.950364,2,3,0,5.90703,0.78336,0.44003
-6.61722,0.73569,0.950364,2,3,0,6.67533,0.975513,0.433345
-7.02287,0.986016,0.950364,1,1,0,7.05627,0.984428,0.444058
-6.59079,0.930053,0.950364,3,7,0,7.97946,0.897345,0.826158
-5.54577,0.962995,0.950364,1,3,0,7.39698,0.889131,0.387592
-5.54577,0.918896,0.950364,1,3,0,6.43789,0.889131,0.387592
-5.54577,0.784903,0.950364,1,3,0,6.8886,0.889131,0.387592
-6.72813,0.883189,0.950364,2,3,0,7.23668,0.566486,0.79372
-5.38672,1,0.950364,1,3,0,6.74348,0.708342,0.481817
-5.51587,0.965551,0.950364,2,3,0,5.59234,0.901792,0.533738
-7.04111,0.761097,0.950364,2,3,0,7.30218,0.823621,0.117691
-6.09596,0.955534,0.950364,2,3,0,7.60023,0.956922,0.482346
-5.85664,0.916756,0.950364,2,3,0,6.53473,0.800447,0.751245
-5.48077,1,0.950364,2,3,0,5.80141,0.833887,0.649179
-5.30515,0.992601,0.950364,2,3,0,5.54565,0.800114,0.561564
-5.90256,0.878556,0.950364,1,3,0,5.96996,0.693235,0.731546
-7.3984,0.841684,0.950364,2,7,0,7.49905,0.928,0.121948
-7.11504,1,0.950364,2,3,0,7.80297,0.96195,0.196595
-6.92714,1,0.950364,2,3,0,7.91869,0.978276,0.667266
-5.28328,0.991942,0.950364,2,3,0,7.32853,0.811207,0.528837
-5.27726,0.999038,0.950364,1,3,0,5.2914,0.791266,0.486355
-5.78358,0.74086,0.950364,2,3,0,6.65663,0.932918,0.562398
-6.71811,0.897453,0.950364,2,3,0,6.98026,0.937814,0.802447
-7.14619,0.898035,0.950364,2,3,0,8.38458,0.838747,0.111875
-6.11561,0.877262,0.950364,1,3,0,8.73134,0.958046,0.507099
-5.88387,0.889458,0.950364,2,7,0,6.98151,0.83859,0.248513
-5.73752,1,0.950364,1,1,0,5.91577,0.81265,0.273285
-5.74544,0.962941,0.950364,2,3,0,6.18483,0.931763,0.525902
-6.89306,0.726292,0.950364,2,3,0,8.0966,0.676874,0.857326
-8.01475,0.916311,0.950364,2,3,0,8.13352,0.550586,0.90067
-7.33441,0.825496,0.950364,2,7,0,8.89068,0.981197,0.262347
-6.06954,0.993261,0.950364,2,3,0,7.99521,0.860318,0.775986
-6.12306,0.969319,0.950364,2,3,0,6.53018,0.64954,0.249881
-6.12306,0.101573,0.950364,1,3,0,12.143,0.64954,0.249881
-6.67353,0.700549,0.950364,2,3,0,8.24257,0.848852,0.149158
-6.29122,0.926965,0.950364,2,3,0,7.54072,0.964716,0.438368
-6.38031,0.998634,0.950364,1,1,0,6.48893,0.96911,0.475253
-5.87125,0.978179,0.950364,2,3,0,6.82961,0.898725,0.291605
-5.43649,0.996722,0.950364,2,3,0,5.87547,0.758408,0.371227
-5.63951,0.709614,0.950364,2,3,0,7.48876,0.882139,0.336203
-8.3424,0.610712,0.950364,2,3,0,9.68246,0.996123,0.514351
-5.32061,0.997594,0.950364,2,3,0,7.7688,0.746538,0.472087
-6.50213,0.605848,0.950364,2,3,0,7.34059,0.964557,0.330104
-9.01388,0.941007,0.950364,2,3,0,9.09826,0.996948,0.721545
-6.45359,0.836991,0.950364,2,3,0,9.20963,0.613542,0.783579
-6.1544,0.914234,0.950364,2,3,0,7.24134,0.514382,0.493695
-6.22317,0.989027,0.950364,3,7,0,6.78275,0.960159,0.410528
-5.32158,0.936105,0.950364,1,3,0,6.34419,0.839599,0.549369
-5.34705,0.996071,0.950364,2,3,0,5.37647,0.78383,0.591757
-6.94167,0.570678,0.950364,1,3,0,8.35858,0.86778,0.130602
-7.64092,0.953353,0.950364,2,3,0,8.05594,0.52729,0.132109
-10.5545,0.829744,0.950364,2,3,0,11.2245,0.502818,0.0295151
-9.10769,1,0.950364,1,1,0,10.821,0.524527,0.0589637
-7.35309,0.853252,0.950364,2,3,0,10.2992,0.984369,0.702678
-6.94148,1,0.950364,2,3,0,7.44669,0.983042,0.553977
-5.56738,0.883125,0.950364,1,3,0,7.43466,0.873728,0.648823
-5.39832,0.987723,0.950364,2,3,0,5.74381,0.878419,0.497961
-6.44663,0.873924,0.950364,2,3,0,6.54983,0.971042,0.457387
-6.44663,0.223318,0.950364,2,3,0,14.5646,0.971042,0.457387
-5.6026,0.999519,0.950364,2,3,0,6.53271,0.912819,0.556141
-5.28483,0.988937,0.950364,2,3,0,5.58961,0.820632,0.480006
-5.41165,0.974891,0.950364,2,3,0,5.47364,0.728149,0.408871
-5.41165,0.537595,0.950364,1,1,0,6.25395,0.728149,0.408871
-7.22012,0.700714,0.950364,2,3,0,7.33565,0.477021,0.207394
-6.72383,1,0.950364,2,3,0,7.36079,0.966403,0.717893
-6.80394,0.959796,0.950364,2,3,0,7.5877,0.749379,0.137338
-5.28688,0.975858,0.950364,1,3,0,7.2773,0.780186,0.52831
-5.28688,0.389517,0.950364,1,3,0,8.38605,0.780186,0.52831
-7.12446,0.564997,0.950364,2,3,0,7.18824,0.981885,0.676979
-6.55149,0.978285,0.950364,2,3,0,7.36877,0.466898,0.38783
-5.38008,1,0.950364,2,3,0,6.0729,0.714049,0.467748
-5.60383,0.795865,0.950364,2,3,0,6.24849,0.808512,0.305521
-5.40262,0.973663,0.950364,2,3,0,5.84746,0.735965,0.405938
-5.33356,1,0.950364,1,1,0,5.39298,0.751678,0.443008
-5.34217,0.958052,0.950364,2,3,0,5.63929,0.859872,0.507836
-6.25114,0.86671,0.950364,2,3,0,6.42029,0.844484,0.193633
-6.75621,0.960327,0.950364,2,3,0,7.16051,0.782981,0.861329
-5.7571,0.977991,0.950364,2,7,0,6.86568,0.918944,0.372816
-5.55733,1,0.950364,1,1,0,5.74118,0.901615,0.420197
-5.35507,0.975343,0.950364,1,3,0,5.72227,0.809199,0.59847
-5.39784,0.996951,0.950364,2,3,0,5.40742,0.798744,0.622217
-6.88525,0.64773,0.950364,2,3,0,7.45234,0.980279,0.385908
-8.81407,0.798958,0.950364,2,3,0,9.53329,0.977891,0.90529
-5.69693,1,0.950364,2,3,0,8.15711,0.616586,0.562478
-6.54799,0.752943,0.950364,2,3,0,6.66247,0.972743,0.587652
-6.13817,0.984017,0.950364,2,3,0,7.12553,0.907235,0.754272
-7.81471,0.839654,0.950364,2,3,0,8.52965,0.989259,0.727788
-8.25619,0.960765,0.950364,2,3,0,9.21498,0.994897,0.351286
-7.52872,0.927789,0.950364,2,3,0,10.2152,0.990961,0.541248
-7.84241,0.991763,0.950364,2,3,0,7.93621,0.992786,0.61524
-5.30426,0.904229,0.950364,2,3,0,8.50044,0.838483,0.522029
-5.81057,0.9003,0.950364,1,3,0,5.89219,0.899512,0.691331
-12.5609,0.259978,0.950364,3,7,0,12.8141,0.998842,0.0585807
-10.8987,1,0.950364,1,1,0,12.5139,0.997807,0.102765
-9.3798,1,0.950364,1,1,0,10.7982,0.996171,0.183168
-6.6349,0.970194,0.950364,1,3,0,9.71597,0.97019,0.335762
-6.30736,1,0.950364,1,1,0,6.65645,0.961421,0.378197
-5.67935,0.977265,0.950364,1,3,0,6.24826,0.915276,0.398428
-6.37193,0.936523,0.950364,2,3,0,6.37757,0.549665,0.71474
-6.10139,1,0.950364,2,3,0,7.1883,0.956086,0.445792
-5.93992,0.918804,0.950364,2,3,0,7.59921,0.942277,0.597424
-6.51581,0.943134,0.950364,2,3,0,6.94728,0.954092,0.270296
-6.11269,1,0.950364,2,3,0,6.93641,0.920549,0.730182
-9.70851,0.687226,0.950364,2,3,0,10.8439,0.462322,0.0524917
-7.75628,1,0.950364,1,1,0,9.40041,0.619693,0.0967168
-7.71054,0.983458,0.950364,2,7,0,8.04851,0.928345,0.897799
-6.85731,1,0.950364,1,1,0,7.66844,0.905707,0.848213
-5.27987,1,0.950364,2,3,0,6.57406,0.79585,0.47502
-5.48706,0.964269,0.950364,2,3,0,5.52001,0.881598,0.596999
-5.39842,1,0.950364,2,3,0,5.55193,0.723054,0.42557
-6.05702,0.812816,0.950364,2,3,0,6.18922,0.937718,0.328245
-7.75371,0.836473,0.950364,3,7,0,8.01196,0.910807,0.907903
-5.60151,0.94523,0.950364,2,3,0,8.75118,0.634725,0.521079
-5.60151,0.493566,0.950364,1,1,0,6.53827,0.634725,0.521079
-5.81395,0.984272,0.950364,2,3,0,5.88283,0.923762,0.634513
-9.82189,0.704217,0.950364,2,3,0,10.1889,0.999013,0.622822
-9.20977,0.979568,0.950364,3,7,0,10.1214,0.998358,0.548619
-5.30666,0.997232,0.950364,2,3,0,8.71315,0.834991,0.463004
-10.2115,0.293179,0.950364,3,7,0,12.5953,0.842308,0.0219997
-7.6532,0.966627,0.950364,2,3,0,10.9736,0.926632,0.104603
-6.77778,0.957458,0.950364,2,7,0,8.26838,0.469037,0.698715
-8.98155,0.834535,0.950364,2,7,0,9.2667,0.975376,0.0817922
-7.1486,0.955005,0.950364,3,7,0,10.9214,0.712375,0.883396
-7.03904,0.669014,0.950364,2,3,0,8.51485,0.985099,0.503124
-7.5877,0.987138,0.950364,1,1,0,7.5969,0.991615,0.504703
-7.72209,0.826378,0.950364,2,3,0,8.99485,0.568425,0.111606
-7.72209,0.418353,0.950364,1,1,0,9.06734,0.568425,0.111606
-7.8493,0.669678,0.950364,3,7,0,9.53386,0.951304,0.111274
-7.66557,1,0.950364,1,1,0,8.15286,0.958548,0.13357
-6.98613,0.986456,0.950364,2,3,0,7.71379,0.685178,0.86683
-5.52658,1,0.950364,2,3,0,6.73963,0.899065,0.434037
-6.12656,0.984937,0.950364,2,3,0,6.50937,0.544051,0.372831
-6.54437,0.950818,0.950364,2,7,0,7.04259,0.902855,0.817386
-11.083,0.683645,0.950364,2,3,0,11.4512,0.999466,0.216798
-8.84422,0.924002,0.950364,2,3,0,12.3401,0.984381,0.888379
-6.67562,1,0.950364,2,3,0,10.9719,0.871242,0.154153
-6.1978,0.921259,0.950364,2,3,0,7.58997,0.959477,0.418507
-5.57299,0.992867,0.950364,1,3,0,6.13554,0.907083,0.434827
-5.4527,1,0.950364,2,3,0,5.63844,0.844241,0.368483
-6.3403,0.693203,0.950364,2,3,0,7.64404,0.959453,0.653082
-6.61601,0.88618,0.950364,2,3,0,7.84357,0.743473,0.845408
-6.09595,1,0.950364,1,1,0,6.63587,0.698488,0.76993
-5.35686,0.928562,0.950364,2,3,0,6.25252,0.82194,0.404528
-5.83734,0.833001,0.950364,2,3,0,6.05862,0.940275,0.49284
-5.31504,0.980838,0.950364,2,3,0,6.0811,0.746171,0.504343
-6.11798,0.658399,0.950364,2,3,0,7.21963,0.951291,0.622479
-8.35878,0.918325,0.950364,3,7,0,9.2656,0.995413,0.35207
-5.45522,0.786136,0.950364,2,7,0,7.96084,0.876681,0.588186
-5.29081,1,0.950364,1,3,0,5.45258,0.829043,0.484426
-5.29365,0.986552,0.950364,2,3,0,5.39088,0.830837,0.518956
-5.3029,0.989701,0.950364,2,3,0,5.37444,0.755295,0.498292
-5.94943,0.765254,0.950364,1,1,0,5.95115,0.552915,0.514283
-5.69151,1,0.950364,1,1,0,6.00282,0.610638,0.481728
-5.92452,0.482822,0.950364,2,3,0,7.98542,0.848133,0.756053
-5.73656,1,0.950364,2,3,0,5.99464,0.797499,0.27295
-5.35011,1,0.950364,2,3,0,5.69464,0.844228,0.571073
-5.33862,0.876066,0.950364,2,3,0,6.2565,0.779515,0.584368
-5.96552,0.895473,0.950364,2,3,0,6.21586,0.77342,0.768525
-6.4455,0.956367,0.950364,2,3,0,6.52312,0.640959,0.79688
-5.33075,0.923378,0.950364,2,3,0,6.80759,0.85498,0.491609
-5.83575,0.918589,0.950364,1,3,0,5.8991,0.925075,0.361204
-5.66112,1,0.950364,2,3,0,5.83077,0.671585,0.647693
-5.66147,0.991006,0.950364,2,3,0,5.88363,0.919826,0.562053
-5.69231,0.883461,0.950364,2,3,0,6.72648,0.738315,0.295639
-5.92091,0.980909,0.950364,2,3,0,6.04905,0.863322,0.250949
-5.86125,0.98821,0.950364,2,3,0,6.18685,0.652629,0.69345
-6.01872,0.6372,0.950364,1,3,0,7.52196,0.946216,0.388394
-5.44594,0.919049,0.950364,2,3,0,7.11226,0.885217,0.551041
-11.0536,0.441154,0.950364,2,3,0,11.1374,0.996474,0.927223
-11.4396,0.985793,0.950364,1,1,0,11.8007,0.996999,0.935613
-11.6283,0.988563,0.950364,1,1,0,12.0913,0.99689,0.942877
-9.52706,1,0.950364,2,3,0,11.5549,0.995559,0.847521
-9.58069,1,0.950364,2,3,0,9.98955,0.996918,0.815269
-7.84693,1,0.950364,2,3,0,11.5859,0.308866,0.526274
-5.45488,1,0.950364,2,3,0,6.78785,0.683033,0.467458
-5.46929,0.971819,0.950364,2,3,0,5.81354,0.893748,0.473968
-7.07104,0.753657,0.950364,2,3,0,7.15292,0.701017,0.876221
-7.03948,0.85567,0.950364,2,3,0,7.79755,0.946649,0.172948
