# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = coinbias_model
# start_datetime = 2023-01-12 09:01:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\coinbias\coinbias.data.R
# init = 2 (Default)
# random
#   seed = 2891974704 (Default)
# output
#   file = examples\coinbias\coinbiasMCMC5k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bias
# Adaptation terminated
# Step size = 1.17623
# Diagonal elements of inverse mass matrix:
# 0.413879
-8.24819,1,1.17623,1,1,0,8.36519,0.480282
-8.16243,0.990839,1.17623,2,3,0,8.27194,0.438915
-8.24246,0.940688,1.17623,2,3,0,8.35215,0.356652
-11.7803,0.316463,1.17623,1,3,0,11.945,0.111931
-8.41434,0.908034,1.17623,1,3,0,10.7793,0.316774
-8.61958,0.928362,1.17623,1,1,0,8.69931,0.285655
-8.18799,1,1.17623,1,1,0,8.45347,0.378009
-8.18799,0.43765,1.17623,1,3,0,9.92333,0.378009
-8.23509,0.981332,1.17623,1,1,0,8.24694,0.359052
-8.23509,0.80594,1.17623,1,1,0,8.60132,0.359052
-8.25817,0.996708,1.17623,2,3,0,8.25993,0.483467
-8.15879,1,1.17623,1,1,0,8.21698,0.435258
-8.2128,0.749262,1.17623,2,3,0,8.86341,0.467424
-8.19485,0.676289,1.17623,2,3,0,9.215,0.459472
-9.15202,0.755257,1.17623,2,3,0,9.29172,0.232067
-9.16122,0.99719,1.17623,1,1,0,9.51067,0.231329
-9.80557,0.949475,1.17623,2,3,0,10.0031,0.673068
-8.21181,1,1.17623,1,1,0,9.13316,0.467019
-8.76117,0.790516,1.17623,1,1,0,8.77158,0.575588
-8.38216,1,1.17623,1,1,0,8.67858,0.514783
-8.23602,0.975166,1.17623,2,3,0,8.50937,0.358742
-8.19256,1,1.17623,1,1,0,8.23247,0.375764
-8.1504,0.950899,1.17623,2,3,0,8.3133,0.414885
-8.1876,0.989151,1.17623,1,3,0,8.1885,0.455811
-8.55418,0.854691,1.17623,1,1,0,8.56012,0.546142
-8.50623,1,1.17623,1,1,0,8.68267,0.538241
-8.50623,0.491157,1.17623,1,1,0,9.61054,0.538241
-8.50623,0.699012,1.17623,1,1,0,9.11273,0.538241
-8.7996,0.962296,1.17623,2,3,0,8.88026,0.264543
-8.21583,1,1.17623,1,1,0,8.58142,0.365896
-8.21583,0.379458,1.17623,2,3,0,10.2781,0.365896
-8.15257,0.996371,1.17623,2,3,0,8.20993,0.407145
-8.2447,0.973666,1.17623,1,3,0,8.24997,0.479131
-8.20426,1,1.17623,1,1,0,8.24786,0.463805
-8.70255,0.886214,1.17623,2,3,0,8.7115,0.567874
-9.1855,0.818734,1.17623,1,1,0,9.38709,0.622134
-10.2424,0.665734,1.17623,1,1,0,10.5804,0.701919
-8.61825,1,1.17623,1,1,0,9.69455,0.55597
-8.16996,0.999428,1.17623,1,3,0,8.46526,0.388668
-8.17766,0.990985,1.17623,2,3,0,8.21248,0.383675
-8.4749,0.889797,1.17623,1,1,0,8.47603,0.30647
-8.7493,0.907622,1.17623,1,1,0,8.84211,0.270038
-9.13819,0.96051,1.17623,2,3,0,9.30296,0.233185
-8.15083,0.977413,1.17623,1,3,0,8.79217,0.421239
-8.32159,0.947108,1.17623,2,3,0,8.34418,0.335527
-8.26534,1,1.17623,1,1,0,8.34035,0.349786
-8.22664,1,1.17623,1,1,0,8.27738,0.36194
-8.22735,0.979139,1.17623,2,3,0,8.34792,0.361692
-8.15177,1,1.17623,1,3,0,8.19648,0.409001
-8.19164,0.919396,1.17623,2,3,0,8.36501,0.376207
-8.16787,1,1.17623,2,3,0,8.19775,0.443474
-8.20821,0.980574,1.17623,2,3,0,8.24634,0.368891
-8.20821,0.576555,1.17623,1,3,0,9.45734,0.368891
-9.40343,0.676583,1.17623,2,3,0,9.74034,0.641748
-8.5119,0.90717,1.17623,2,3,0,9.93608,0.300706
-8.71895,0.976641,1.17623,2,3,0,8.78902,0.570076
-8.15504,1,1.17623,1,3,0,8.49972,0.402879
-10.5693,0.338043,1.17623,2,3,0,11.9345,0.152172
-10.0044,1,1.17623,2,3,0,10.8903,0.177877
-8.64795,1,1.17623,1,1,0,9.62715,0.282037
-10.5985,0.555516,1.17623,1,1,0,10.6112,0.150988
-8.97926,1,1.17623,1,1,0,10.2258,0.246855
-9.67566,0.812806,1.17623,1,1,0,9.86208,0.195978
-10.1517,0.954044,1.17623,2,3,0,10.1601,0.696288
-8.36797,1,1.17623,1,3,0,9.72136,0.325597
-8.39993,0.988075,1.17623,1,1,0,8.4816,0.319417
