# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = altermu2_model
# start_datetime = 2023-01-12 11:18:05 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\altermu2\altermu2.data.R
# init = 2 (Default)
# random
#   seed = 2900171209 (Default)
# output
#   file = examples\altermu2\altermu2var.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,mu.1,mu.2
# Stepsize adaptation complete.
# eta = 1
0,0,0,-7.64311,7.83979
0,-117.191,-0.00247751,-7.64707,7.82833
0,-117.556,-0.172214,-7.73565,7.86612
0,-117.306,-1.53084,-7.84665,8.03841
0,-119.248,-2.11501,-7.30717,7.96909
0,-118.273,-0.400427,-7.64101,7.68041
0,-117.018,-1.26539,-7.77874,8.06245
0,-124.517,-4.43604,-7.58919,7.27301
0,-117.462,-1.35687,-7.47989,7.59679
0,-118.464,-0.305692,-7.68354,7.70823
0,-117.498,-1.20852,-7.616,8.09256
0,-117.005,-1.26789,-7.74801,8.07865
0,-116.852,-0.100489,-7.58178,7.88433
0,-119.113,-1.77197,-7.40686,8.05383
0,-117.048,-0.610728,-7.63435,8.02309
0,-116.867,-0.433669,-7.48437,7.85246
0,-118.138,-0.265483,-7.76046,7.82244
0,-116.943,-0.534029,-7.68358,8.00707
0,-119.135,-0.465091,-7.71603,7.68756
0,-116.851,-0.676843,-7.44404,7.81733
0,-117.111,-0.452402,-7.53475,7.71517
0,-117.8,-0.118777,-7.66655,7.75796
0,-117.506,-0.464258,-7.77831,7.92158
0,-124.042,-2.5604,-7.96821,7.68322
0,-116.697,-1.71898,-7.3689,7.66432
0,-117.059,-2.31797,-7.81428,8.14232
0,-120.678,-2.4819,-7.9879,7.87102
0,-118.063,-0.179251,-7.73428,7.80199
0,-116.744,-1.32955,-7.40836,7.6782
0,-117.674,-0.18187,-7.74049,7.85495
0,-119.801,-0.697646,-7.80937,7.73869
0,-121.1,-1.03657,-7.80674,7.65718
0,-117.221,-0.262792,-7.57181,7.7361
0,-117.345,-0.217923,-7.59131,7.73697
0,-117.129,-1.74588,-7.83434,8.07576
0,-117.438,-1.58895,-7.33052,7.82856
0,-117.077,-1.75887,-7.32159,7.76763
0,-117.189,-0.247475,-7.57121,7.74136
0,-118.012,-1.91591,-7.29858,7.86176
0,-117.84,-0.535859,-7.58548,7.66532
0,-118.281,-1.42364,-7.37638,7.95899
0,-117.437,-1.12433,-7.38528,7.87813
0,-117.205,-0.107315,-7.60062,7.77196
0,-118.409,-4.11969,-7.13339,7.7417
0,-116.834,-0.181872,-7.54536,7.86942
0,-117.102,-0.184585,-7.70604,7.91987
0,-116.651,-2.7042,-7.29716,7.61431
0,-117.033,-0.894517,-7.7645,8.02396
0,-119.128,-0.433688,-7.75717,7.73167
0,-117.954,-1.21276,-7.53248,8.07204
0,-121.924,-3.38765,-7.33977,8.15311
0,-118.598,-1.72313,-7.52243,7.52543
0,-118.72,-3.16132,-7.43816,7.42656
0,-118.089,-1.44338,-7.88571,7.96419
0,-123.986,-2.17247,-7.91667,7.63234
0,-118.532,-0.524607,-7.64069,7.65653
0,-116.794,-0.363003,-7.49976,7.81567
0,-118.804,-0.745921,-7.62809,7.62036
0,-118.039,-0.167854,-7.73026,7.80023
0,-118.354,-2.31116,-7.94452,8.00006
0,-117.945,-0.125352,-7.69255,7.76963
0,-119.177,-0.447514,-7.75851,7.72936
0,-116.996,-0.888986,-7.75063,8.03179
0,-116.837,-0.518363,-7.46883,7.82978
0,-116.876,-3.24129,-7.23028,7.64998
0,-116.916,-0.251596,-7.60163,7.95188
0,-116.834,-0.241614,-7.53147,7.80096
0,-117.647,-0.618321,-7.56069,7.6612
0,-121.69,-1.25615,-7.83795,7.65809
0,-117.613,-0.326748,-7.76513,7.89082
0,-116.731,-1.05578,-7.41776,7.72624
0,-117.494,-0.276861,-7.59471,7.71852
0,-121.736,-2.81618,-8.00986,7.83493
0,-117.565,-1.92718,-7.67576,8.15456
0,-118.92,-0.424297,-7.70118,7.68848
0,-117.574,-0.386948,-7.58441,7.69643
0,-118.671,-0.482649,-7.79984,7.81424
0,-116.78,-0.47,-7.48594,7.78612
0,-116.836,-0.183271,-7.54293,7.81778
0,-116.925,-0.0869805,-7.64432,7.91073
0,-117.706,-1.0036,-7.83893,7.96015
0,-117.008,-0.21172,-7.55865,7.76694
0,-116.903,-0.240916,-7.55213,7.91424
0,-123.796,-3.12634,-7.65348,7.36892
0,-117.106,-0.568342,-7.47192,7.9032
0,-116.916,-1.1828,-7.38095,7.78578
0,-128.773,-3.79873,-7.96772,7.50758
0,-117.843,-0.839823,-7.83112,7.93329
0,-116.831,-0.750306,-7.435,7.80329
0,-118.731,-0.658546,-7.6351,7.63374
0,-119.907,-0.766858,-7.82239,7.74538
0,-123.601,-1.96522,-7.89426,7.62577
0,-124.097,-2.14261,-7.79058,7.49749
0,-117.458,-0.834644,-7.44074,7.93088
0,-118.304,-0.473994,-7.63067,7.66641
0,-117.405,-0.889956,-7.58602,8.0526
0,-121.607,-3.17662,-7.33233,8.13034
0,-117.415,-0.0248829,-7.67381,7.81836
0,-118.189,-0.593622,-7.81501,7.8763
0,-117.148,-1.06904,-7.79889,8.02219
0,-116.804,-1.19547,-7.4295,7.6745
