# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = clickgraph_model
# start_datetime = 2023-10-18 22:34:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = ../programs/STAN/clickgraph/clickgraph.data.R
# init = 2 (Default)
# random
#   seed = 1276562338 (Default)
# output
#   file = clickgraph.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,simAll,unif.1,unif.2,unif.3,unif.4,unif.5,beta1,beta2
# Adaptation terminated
# Step size = 0.00441821
# Diagonal elements of inverse mass matrix:
# 1.86736, 3.09919, 2.3147, 5.53031, 4.0565, 3.05936, 0.962112, 5.76151
-21.9081,0.895554,0.00441821,10,1023,0,25.0672,0.943361,0.616055,0.658362,0.480263,0.331938,0.898158,0.752939,0.785907
-23.9094,0.940792,0.00441821,9,511,0,26.3308,0.97035,0.750072,0.855005,0.846205,0.881867,0.283029,0.571395,0.0854011
-26.3711,0.881863,0.00441821,10,1023,0,30.1796,0.984544,0.798071,0.80267,0.959132,0.951522,0.881421,0.665696,0.273098
-26.3075,0.971879,0.00441821,9,511,0,28.4042,0.986371,0.812941,0.785433,0.940698,0.927597,0.880109,0.735292,0.240452
-24.7238,0.912829,0.00441821,10,1023,0,31.4375,0.0392258,0.178541,0.166365,0.115675,0.0750548,0.930852,0.545829,0.428097
-19.8585,0.887782,0.00441821,10,1023,0,27.8006,0.622788,0.822483,0.856434,0.804473,0.555068,0.240507,0.433543,0.537027
-22.3674,0.492348,0.00441821,10,1023,0,27.0569,0.773201,0.168902,0.150365,0.300744,0.631629,0.760193,0.833628,0.261473
-21.2366,0.440162,0.00441821,9,511,0,24.8354,0.77185,0.184353,0.298043,0.694979,0.699143,0.842839,0.797249,0.0598126
