# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf2_model
# start_datetime = 2023-07-05 12:15:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf2.data.r
# init = 2 (Default)
# random
#   seed = 757342305 (Default)
# output
#   file = examples\cf\cf2_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mean
# Adaptation terminated
# Step size = 0.00352524
# Diagonal elements of inverse mass matrix:
# 20.5234, 21.8041, 24.8271, 22.3741, 24.078
-2148.75,0.937453,0.00352524,9,1023,0,2149.69,4.41393,4.52017,0.153479,-2.15858,4.58474,24.2052
-2149.37,0.813118,0.00352524,7,239,0,2153.81,4.01418,5.19325,-0.614556,-0.687281,2.78831,24.0573
-2149.49,0.989033,0.00352524,10,1023,0,2151,2.88732,-0.203724,-5.32466,-3.91143,4.24149,24.4803
-2150.19,0.964176,0.00352524,8,307,0,2152.04,4.29205,-1.54357,-3.58438,-6.52475,7.40857,24.1706
-2149.23,0.997107,0.00352524,10,1023,0,2151.25,2.79493,5.98177,-4.75684,-2.58371,-4.74388,24.265
-2151.88,0.702703,0.00352524,9,511,0,2153.78,2.98571,4.01904,-2.40597,-6.1983,-3.01673,23.8959
-2150.86,0.965334,0.00352524,9,1023,0,2158.06,1.38041,1.99904,-4.58723,-3.69334,4.91691,24.6186
-2148.99,0.963123,0.00352524,9,759,0,2153.18,1.91345,5.48318,-6.66055,-1.85455,1.44972,24.2938
-2150,0.952755,0.00352524,9,1023,0,2150.48,5.01895,-0.186427,-3.87947,-7.42478,-3.74256,24.126
