# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf20_model
# start_datetime = 2023-07-05 17:05:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf20.data.r
# init = 2 (Default)
# random
#   seed = 774767535 (Default)
# output
#   file = examples\cf\cf20_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mean
# Adaptation terminated
# Step size = 0.00105802
# Diagonal elements of inverse mass matrix:
# 33.9079, 27.9025, 20.6508, 25.8721, 21.9432, 21.616, 22.0969, 18.1057, 19.6109, 22.1831, 22.9555, 20.8109, 25.5322, 37.0167, 22.1214, 16.0539, 23.5504, 23.5604, 18.6842, 24.8397, 28.3132, 17.235, 22.2515, 22.9104, 22.0256, 29.2501, 25.9293, 25.1592, 27.3114, 23.8851, 20.7342, 24.4996, 20.2837, 23.5645, 28.2836, 21.3569, 22.2039, 24.0219, 19.4284, 23.5275, 20.1095
-20464,0.826542,0.00105802,10,1023,0,20488.3,18.3375,8.39177,-5.3955,9.28945,1.89981,-8.02687,-8.16496,7.53275,3.21714,-2.75994,3.04073,4.51045,-0.600527,1.29097,5.31573,1.05833,3.73978,-8.74451,5.91756,-2.26908,0.377448,3.11944,1.82325,0.584829,9.06265,-2.29407,7.03805,5.50461,3.41523,3.56889,-9.52025,-8.74878,2.21634,4.11738,-1.56532,4.311,-1.04417,3.95288,6.13243,-8.00162,4.8048,73.9401
-20465.1,0.761057,0.00105802,10,1023,0,20481.4,17.2316,9.07167,-6.29099,9.65477,2.87519,-8.17445,-5.57438,5.21977,3.00219,-4.244,1.79667,7.29297,-0.892592,0.0342471,6.56686,-1.26737,3.3383,-7.1917,6.21621,0.28854,2.12032,1.73441,3.68384,0.0899191,9.04944,-1.93836,5.46032,3.84899,6.51667,1.88345,-8.88747,-8.91087,3.56509,4.4118,-0.852607,8.6056,-2.41073,6.00601,5.21907,-9.09136,2.736,74.0318
-20458.5,0.849891,0.00105802,10,1023,0,20479,9.88273,7.79527,-6.40901,7.62519,6.81353,-9.62382,-2.49363,1.64902,5.57098,-5.37176,2.59447,6.01925,-1.99754,2.30501,1.80626,-3.17659,0.375555,-3.66548,6.48771,1.93784,1.29997,4.06947,4.84093,2.46903,8.62603,-2.26458,3.44114,9.90761,2.62175,3.95905,-10.5081,-8.03809,4.6992,5.77788,-0.369156,2.458,-1.67862,3.03125,8.62441,-4.45402,3.55903,73.5929
-20458.3,0.983286,0.00105802,10,1023,0,20479.1,8.8283,7.29108,-3.55223,3.82179,8.91512,-4.15444,1.90405,2.93602,4.87495,-5.32462,1.46931,8.33735,-7.54436,4.52154,4.8539,1.0509,3.7409,2.52578,2.38498,3.02234,0.841333,5.34684,5.87739,0.370996,11.3368,-4.38602,2.07611,14.0125,-1.06803,3.3444,-11.441,-6.63737,5.13926,1.32831,2.07643,1.05724,0.196941,-3.27724,1.57177,-1.32758,3.3265,73.5634
-20451.1,0.999958,0.00105802,10,1023,0,20478.3,1.27621,-1.28671,-4.5614,9.72478,-1.7519,0.995461,3.26607,0.570071,4.70276,-7.76866,-0.66274,4.34305,-5.37523,-3.92153,1.75594,1.00433,6.19731,-0.801183,4.37652,5.82726,4.21979,4.43862,-4.3681,-3.42647,5.86112,1.06291,3.46032,4.76045,0.274401,5.54261,-4.63403,-7.39442,8.0599,1.81416,1.8101,-1.7612,-8.05975,-2.95386,0.18957,-2.89555,-8.44337,73.6427
-20459.9,0.933863,0.00105802,10,1023,0,20474.9,1.4841,-4.62801,-6.54133,12.0402,-5.1117,3.14588,1.70991,3.69261,10.095,-3.23511,-5.30332,-0.143719,-3.11923,-3.42604,-1.46062,-1.76424,9.81157,-0.97371,7.82531,2.71436,1.58715,0.272092,-9.25012,-4.00494,5.60734,4.9888,5.96,0.494038,4.3864,4.62637,-5.91718,-6.20255,9.85501,2.81816,4.26298,-3.08849,-11.9373,-3.94118,-1.75528,3.14451,-5.93403,74.0134
-20461.3,0.989046,0.00105802,10,1023,0,20480.1,6.11436,0.0102171,-5.05935,10.9536,-2.44883,3.49807,1.14257,4.26528,11.3594,-4.61976,-5.48647,0.734671,-2.46178,-5.77197,1.78237,-3.98819,10.7242,1.19602,8.05742,5.28683,1.18549,0.3108,-8.60886,-3.80831,2.59873,7.65728,6.44115,-2.59418,7.38135,1.14628,-5.40299,-3.78522,9.93545,5.34907,5.70699,-0.0799452,-10.9295,-2.56164,-2.20002,4.49115,-4.97264,74.0269
-20462.9,0.901597,0.00105802,10,1023,0,20488.3,3.22413,-4.91243,-6.66169,6.0806,-4.56193,2.02767,1.56147,3.72434,9.34023,-3.59938,-9.1151,1.06797,-4.52631,-5.03093,6.58982,-4.97095,10.1889,1.58554,7.77849,4.75773,5.10246,-0.266306,-13.3317,-3.91158,5.498,4.24897,7.38415,-2.80339,8.76348,1.69235,-4.30374,0.600629,9.15307,5.84824,3.50704,-1.88522,-9.80315,-2.82327,1.89892,4.78352,-5.61977,74.0619
-20453.1,1,0.00105802,10,1023,0,20478.2,-1.14365,-5.83015,3.69098,4.04182,-4.88145,1.59771,6.50239,4.42186,6.15895,0.266427,-9.94303,2.27045,-3.67553,-6.18781,5.60547,-3.52028,6.36988,4.63189,1.44372,-0.559249,0.36538,2.60155,-10.1844,1.30592,1.4312,6.1602,4.26487,-0.57922,6.25087,4.48457,0.00853228,-6.18856,7.77207,1.70353,0.687197,-4.93679,-8.12574,-2.17558,-0.642454,4.57169,-3.31215,73.9905
-20449.2,0.998178,0.00105802,10,1023,0,20471.8,-1.20935,-5.49751,11.828,8.18944,4.18907,-0.349042,-0.813127,2.18649,-1.69548,0.181264,-5.94944,-0.361658,-5.05174,-2.84458,10.3143,-1.61209,6.76389,0.497634,7.1896,-2.50879,-0.537959,-0.719617,-8.97754,2.69509,3.13875,0.617449,2.14676,-2.28499,3.0856,2.72301,3.76291,-2.39058,0.271664,-3.91561,-1.93191,0.811988,-6.73354,-2.47607,-1.31123,-0.486782,-0.824225,73.8261
