# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf5_model
# start_datetime = 2023-07-05 12:28:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf5.data.r
# init = 2 (Default)
# random
#   seed = 758156533 (Default)
# output
#   file = examples\cf\cf5_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mean
# Adaptation terminated
# Step size = 0.00243678
# Diagonal elements of inverse mass matrix:
# 21.2584, 19.0244, 23.9969, 25.4683, 19.033, 23.344, 19.2291, 17.499, 21.9713, 20.1894, 23.7816
-3939.09,0.999526,0.00243678,10,1023,0,3942.55,3.17387,0.814894,-11.1671,5.56951,-2.20522,5.61629,8.13331,1.61648,3.1816,8.14339,1.03257,-31.9052
-3936.04,0.63921,0.00243678,10,1023,0,3944.23,2.96543,-4.43607,-4.68477,8.70992,-0.580107,-6.21906,-3.9171,-3.92647,-1.37468,-1.17787,1.41049,-31.941
-3934.55,0.993605,0.00243678,10,1023,0,3939.27,-0.685003,-0.9485,5.24629,0.452501,-0.522262,1.28944,-4.54891,3.1629,7.70544,-2.43436,-1.18614,-31.9814
-3936.81,0.948057,0.00243678,10,1023,0,3937.6,-3.02033,-0.291781,4.85337,-0.108518,-0.467077,-0.379184,-4.98479,4.74758,10.4356,-0.412207,-4.36699,-31.8026
-3940.99,0.819441,0.00243678,10,1023,0,3946.51,-9.2747,-3.16853,-7.44452,-4.36987,3.1478,3.82186,-5.90908,10.3676,7.00096,-6.20531,-1.38223,-32.1393
-3937.4,0.668899,0.00243678,10,1023,0,3948.05,3.22891,4.1226,0.703701,2.29401,1.79113,-5.41911,-11.1704,4.27445,1.49492,2.12069,7.33023,-32.0275
