# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf3_model
# start_datetime = 2023-07-05 12:21:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf3.data.r
# init = 2 (Default)
# random
#   seed = 757730203 (Default)
# output
#   file = examples\cf\cf3_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mean
# Adaptation terminated
# Step size = 0.00582471
# Diagonal elements of inverse mass matrix:
# 13.9249, 11.961, 15.4674, 13.7976, 14.2406, 11.1814, 21.6823
-1066.82,0.867692,0.00582471,8,316,1,1069.77,-1.67253,-7.87968,-5.09819,2.51527,-1.21183,5.11761,0.229918,-5.61609
-1065.8,0.587286,0.00582471,9,511,0,1070.49,0.638712,-2.91562,1.25166,-0.285081,1.90863,2.87256,-9.04784,-5.78425
-1065.82,0.904835,0.00582471,9,511,0,1070.24,0.679985,-0.262272,-2.78696,-1.56904,7.35615,-1.04837,-2.08632,-5.60376
-1065.82,0.726499,0.00582471,9,511,0,1070.75,0.505262,-0.182782,-3.48978,-2.01598,5.76,-1.77121,-2.74436,-6.00356
-1066.9,0.945742,0.00582471,9,511,0,1068.72,-1.6745,-3.84434,-5.46951,0.279102,8.35486,-1.12056,-1.53543,-5.98673
-1066.07,0.781934,0.00582471,9,511,0,1070.09,4.63165,-2.53778,3.41032,0.720353,0.607233,-5.21114,6.58638,-5.87547
-1067.29,0.968655,0.00582471,10,1023,0,1069.69,0.30799,0.00440382,1.72624,8.03689,7.63098,-1.648,-7.07006,-5.77102
-1065.42,0.37982,0.00582471,9,511,0,1070.7,-0.835672,0.127765,-0.235944,-4.51918,2.65017,-4.53385,5.35476,-5.70118
-1069.02,0.916706,0.00582471,9,1023,0,1070.21,8.67484,0.281518,-0.0333546,-1.25375,0.125196,-10.3387,-6.79196,-5.60237
-1066.4,0.4314,0.00582471,9,511,0,1073.47,-0.254783,-3.19209,-6.27856,2.29906,-4.15001,-0.20776,7.07937,-5.67991
-1068.3,0.75114,0.00582471,8,351,0,1073.47,2.50035,-8.35823,1.42991,5.29976,0.165336,-2.97943,7.79049,-6.0224
-1066.64,0.913155,0.00582471,10,1023,0,1071.73,-1.47589,-7.16653,-1.65598,-1.98263,-8.7907,2.06976,-1.40465,-5.73913
-1068.68,0.526262,0.00582471,9,1023,0,1074.86,-1.15003,-7.8052,-3.63881,-2.46069,-6.75313,3.68724,1.50403,-5.46621
-1069.13,0.425732,0.00582471,8,255,0,1074.75,0.0233756,-4.2562,-4.28791,-1.60646,-2.29448,5.7152,0.973103,-5.35144
-1065.24,0.966539,0.00582471,9,511,0,1071.4,-2.2358,0.24231,-0.989236,-0.369788,-3.56447,2.50425,3.1067,-5.99556
-1065.46,0.994691,0.00582471,9,511,0,1067.23,-1.36094,2.4978,0.136948,-3.67771,4.03649,-1.35896,3.78087,-5.60755
-1064.47,0.999189,0.00582471,9,511,0,1066.51,-0.0293188,-2.73498,-2.76847,-0.217195,1.7445,-1.43499,-4.0119,-5.83376
-1066.26,0.979979,0.00582471,9,511,0,1067.45,0.0133973,-3.17449,-2.0077,3.13408,8.1473,-0.328435,3.05316,-5.9575
