# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf1_model
# start_datetime = 2023-07-05 12:11:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf1.data.r
# init = 2 (Default)
# random
#   seed = 757134845 (Default)
# output
#   file = examples\cf\cf1_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mean
# Adaptation terminated
# Step size = 0.0243974
# Diagonal elements of inverse mass matrix:
# 3.44328, 6.28913, 7.09521
-251.133,0.977549,0.0243974,7,141,0,251.525,3.91547,0.363111,0.420179,1.84193
-251.122,0.951633,0.0243974,8,255,0,251.457,-0.562175,2.20395,3.07172,1.83271
-252.038,0.91511,0.0243974,2,3,0,252.171,-0.491903,2.22589,3.17432,2.0794
-252.081,0.969015,0.0243974,6,123,0,254.07,1.5032,1.3611,-0.424841,1.62117
-250.904,0.912964,0.0243974,2,3,0,253.536,1.46187,1.52293,-0.351122,1.8752
-251.289,0.964703,0.0243974,7,195,0,251.969,-0.783304,1.89915,3.44117,1.95356
-251.634,0.931396,0.0243974,7,255,0,252.464,0.25977,4.38729,0.578107,1.7178
-252.347,0.881252,0.0243974,7,255,0,253.073,3.13682,1.50672,-3.09656,1.62973
-254.198,0.894328,0.0243974,7,141,0,255.785,3.47317,3.54669,-10.2547,2.06358
-251.319,0.827905,0.0243974,6,119,0,255.457,4.45445,0.685206,-1.2477,1.80452
-250.991,0.605277,0.0243974,6,69,0,253.716,1.30786,1.0212,0.450737,1.78632
-250.945,0.996701,0.0243974,6,111,0,251.158,1.54071,0.732536,0.677947,1.80657
-251.966,0.980665,0.0243974,8,255,0,252.459,1.45769,-2.62771,5.81711,1.98673
-251.816,0.999275,0.0243974,5,35,0,252.116,1.48407,-2.95311,6.22093,1.8383
-251.277,0.788221,0.0243974,6,119,0,254.548,-0.96595,-2.07503,-0.00521087,1.99917
-251.383,0.944802,0.0243974,6,101,0,253.682,-0.84584,2.96266,4.37472,1.86879
-251.884,0.804256,0.0243974,5,61,1,257.796,0.724043,0.335056,1.39592,1.63852
-252.626,0.981924,0.0243974,6,75,0,253.814,-1.20743,0.826196,3.14284,2.14527
-251.13,0.95461,0.0243974,6,75,0,255.258,0.55624,1.87569,0.713163,1.7565
-251.108,0.99345,0.0243974,2,3,0,251.293,0.571162,1.8668,0.695378,1.76162
-251.133,0.999176,0.0243974,3,15,0,251.186,0.668278,1.89616,0.705228,1.97239
-250.975,0.923535,0.0243974,3,15,0,252.692,0.714836,1.6947,0.585695,1.79713
-252.004,0.919301,0.0243974,2,3,0,252.151,0.817261,1.76241,0.659785,2.10013
-251.987,0.995162,0.0243974,6,87,0,252.918,-0.755836,1.6043,2.85914,1.64655
-251.526,0.997712,0.0243974,6,103,0,252.572,0.697415,-0.73863,2.54786,2.03272
-252.258,0.957079,0.0243974,5,35,0,253.831,0.443546,-2.24936,2.61669,1.619
-252.535,0.995626,0.0243974,7,127,0,252.954,2.0478,-0.028444,2.20075,2.1425
-251.057,0.944785,0.0243974,4,27,0,254.001,1.69372,-0.199706,2.26832,1.93008
-251.016,0.707066,0.0243974,5,51,0,259.726,-0.0160142,-0.702911,1.93143,1.94269
-251.066,0.960621,0.0243974,5,47,0,253.694,1.25729,-0.691226,2.78811,1.91903
-250.907,0.947524,0.0243974,6,87,0,252.291,1.23605,0.330251,1.42186,1.83007
-251.14,0.91795,0.0243974,5,39,0,253.107,0.7623,0.713577,1.20233,1.74629
-251.164,0.969266,0.0243974,5,47,0,252.768,0.506095,1.96081,0.984658,1.97702
-250.997,0.996163,0.0243974,7,127,0,251.52,-1.34587,0.121051,1.96697,1.80405
-251.588,0.971871,0.0243974,6,67,0,252.219,-2.39758,0.717341,3.72154,2.00166
-251.598,0.793917,0.0243974,5,45,0,254.128,-3.60797,0.881828,5.02822,1.84661
-251.431,0.890941,0.0243974,7,127,0,251.938,-3.77505,0.460262,3.53815,1.80064
-251.167,0.964782,0.0243974,8,255,0,251.705,-2.8256,0.402948,2.97373,1.83516
-251.99,0.664083,0.0243974,3,11,0,253.425,-2.92285,0.474876,3.05031,1.66231
-251.79,0.994067,0.0243974,7,143,0,252.6,-1.8419,-2.41653,-2.402,2.04901
-251.154,0.876063,0.0243974,7,139,0,253.122,-3.81082,-0.324981,0.6724,1.91084
-253.3,0.844308,0.0243974,8,255,0,253.689,-2.0336,-4.98848,-8.43597,1.70859
-252.857,0.879139,0.0243974,5,47,0,255.285,-2.65219,-3.5462,-7.69414,1.71106
-252.198,0.799193,0.0243974,7,127,0,253.619,-1.27267,-5.77463,-5.54551,1.8037
-251.932,0.405149,0.0243974,7,223,0,254.334,-4.00195,-0.152414,1.44946,2.05941
-251.303,0.992944,0.0243974,7,255,0,251.945,-0.347002,-4.1151,0.350042,1.77799
-251.184,0.981583,0.0243974,7,209,0,251.923,-2.56921,0.133057,2.1193,1.77745
-251.547,0.859154,0.0243974,7,127,0,252.898,-2.16655,1.37193,4.74891,1.77655
-252.012,0.998625,0.0243974,6,71,0,252.126,-2.49585,1.77867,6.40254,1.96325
-252.675,0.821688,0.0243974,5,61,0,253.834,-2.90161,1.62806,6.77889,2.0549
-251.441,0.83928,0.0243974,6,75,0,254.452,-0.971161,0.789771,2.78076,2.01376
-251.369,0.993568,0.0243974,5,39,0,251.944,-0.46987,0.146533,2.0863,2.01745
-252.345,0.982264,0.0243974,5,63,0,253.228,-0.0555083,-1.3164,1.52188,1.59495
-250.948,0.999465,0.0243974,3,7,0,252.476,-0.0951722,-1.26201,1.69524,1.81535
-251.202,0.986934,0.0243974,6,107,0,251.976,0.405922,-1.49278,2.57354,1.96759
-251.637,0.972287,0.0243974,6,119,0,252.686,0.306944,3.28513,1.02779,2.03614
-251.595,0.916719,0.0243974,6,117,0,254.678,1.50535,4.02678,-4.24938,1.81233
-251.574,0.998165,0.0243974,8,255,0,251.803,2.09919,-1.63836,5.35332,1.91409
-251.011,0.943329,0.0243974,7,207,0,252.482,-0.154553,-2.31903,1.5535,1.91192
-250.999,0.970812,0.0243974,7,255,0,252.108,1.09381,2.22909,-0.518606,1.9196
-252.043,0.961629,0.0243974,7,195,0,252.295,-1.77465,2.84276,6.85018,1.80527
-252.228,0.780968,0.0243974,7,127,0,253.662,-2.12495,0.446284,3.05142,2.10309
-252.046,0.854131,0.0243974,5,39,0,254.078,-2.83918,0.325324,2.99955,2.0759
-251.259,0.986097,0.0243974,7,127,0,252.513,1.25988,2.37483,-1.00824,1.98377
-251.372,0.982691,0.0243974,7,255,0,251.841,3.04321,0.361815,0.628132,1.72921
-251.155,0.998882,0.0243974,7,127,0,251.47,2.0872,-0.0328196,1.8354,1.7669
-253.055,0.737273,0.0243974,3,11,0,254.171,1.8168,-0.224204,1.94771,1.54037
-251.782,0.994279,0.0243974,5,55,0,254.088,0.818666,0.76739,1.02121,1.64945
-251.774,0.968068,0.0243974,6,87,0,253.948,2.09121,-1.84949,5.63944,1.77176
-251.61,0.988113,0.0243974,2,7,0,251.866,2.09866,-1.81979,5.67391,1.85478
-251.271,0.827625,0.0243974,7,191,0,253.31,2.33568,0.67772,0.412,1.99494
-251.865,0.910441,0.0243974,7,127,0,252.722,2.9693,1.12769,-1.68341,1.66502
