# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = normal_mixture_model
# start_datetime = 2023-01-12 11:25:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\normal_mixture\normal_mixture.data.R
# init = 2 (Default)
# random
#   seed = 2900640468 (Default)
# output
#   file = examples\normal_mixture\normal_mixtureMCMC5k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,mu.1,mu.2
# Adaptation terminated
# Step size = 0.8402
# Diagonal elements of inverse mass matrix:
# 0.115331, 0.0872435, 0.0313008
-82.3379,0.641006,0.8402,1,3,0,85.4096,0.28492,-9.7289,9.679
-84.0234,0.691371,0.8402,1,3,0,85.2695,0.253906,-9.91399,9.36148
-82.9396,0.998457,0.8402,2,7,0,84.4253,0.355752,-9.82047,9.59272
-83.1592,0.957758,0.8402,2,3,0,83.5711,0.205032,-9.69454,9.59445
-82.4503,1,0.8402,2,3,0,83.1666,0.269702,-9.57824,9.6741
-82.4639,0.997288,0.8402,2,3,0,82.5683,0.253063,-9.75334,9.67804
-83.3626,0.914127,0.8402,2,3,0,83.4217,0.343328,-9.36071,9.69123
-82.9911,0.86806,0.8402,3,7,0,85.0055,0.242109,-9.95155,9.58401
-82.4307,0.988434,0.8402,2,3,0,83.1804,0.281109,-9.71581,9.57611
-82.3814,0.947257,0.8402,3,7,0,82.9017,0.274977,-9.78492,9.64802
-82.575,0.921456,0.8402,3,7,0,83.1394,0.273993,-9.65207,9.53727
-83.1234,0.642447,0.8402,2,3,0,86.9367,0.35591,-9.5279,9.55904
-83.2856,0.951515,0.8402,3,7,0,84.2526,0.358406,-9.55396,9.51035
-83.4891,0.946064,0.8402,3,7,0,84.481,0.200118,-9.69338,9.79555
-84.8261,0.853887,0.8402,2,3,0,85.7417,0.15994,-9.59405,9.80675
-83.4172,0.974634,0.8402,2,3,0,85.6193,0.198047,-9.69335,9.5531
-85.1978,0.869473,0.8402,2,3,0,85.4634,0.175997,-9.86061,9.37593
-84.3421,1,0.8402,3,7,0,86.4483,0.30623,-9.43778,9.97971
-84.4113,0.778306,0.8402,2,3,0,87.8075,0.301244,-9.13425,9.56719
-83.1643,0.999119,0.8402,3,7,0,84.7557,0.212312,-9.88743,9.64333
-83.4248,0.930613,0.8402,2,3,0,84.2486,0.216632,-9.91015,9.51966
-82.86,0.993252,0.8402,2,3,0,83.7388,0.349911,-9.55031,9.66753
-82.6177,0.996353,0.8402,2,3,0,82.9798,0.238358,-9.74163,9.61126
-82.6127,0.977391,0.8402,2,7,0,83.0352,0.319417,-9.53724,9.68405
-82.7959,0.979927,0.8402,2,7,0,83.0618,0.312505,-9.77704,9.81377
-84.5507,0.818799,0.8402,2,3,0,85.1097,0.381761,-9.254,9.76216
-84.2163,0.99793,0.8402,3,7,0,85.6791,0.186393,-9.97061,9.53203
-83.6146,0.953642,0.8402,2,3,0,85.2247,0.188304,-9.84349,9.65473
-89.6653,0.572813,0.8402,2,3,0,90.7056,0.449084,-10.4933,9.94321
-83.3912,0.913946,0.8402,2,3,0,90.8006,0.360006,-10.0015,9.638
-83.2077,0.997888,0.8402,3,7,0,84.148,0.323638,-9.85567,9.45818
-82.4293,0.909923,0.8402,1,3,0,84.1542,0.300233,-9.68525,9.73068
-82.6424,0.921303,0.8402,2,3,0,83.1593,0.234081,-9.65084,9.66763
-85.8061,0.708873,0.8402,2,3,0,86.2524,0.285141,-9.03653,9.89163
-83.0827,0.971095,0.8402,2,7,0,86.38,0.346374,-9.44774,9.68918
-84.3821,0.841713,0.8402,2,3,0,84.9186,0.162286,-9.74838,9.70736
-83.1069,0.971423,0.8402,2,3,0,85.2972,0.243836,-9.93224,9.79214
-83.9373,0.9197,0.8402,2,3,0,84.178,0.357428,-9.35872,9.49162
-82.9837,0.80663,0.8402,2,3,0,86.1586,0.269769,-9.96578,9.5386
-83.123,0.976675,0.8402,2,3,0,83.5394,0.322681,-9.39076,9.58523
-85.5255,0.713635,0.8402,2,3,0,86.3143,0.142157,-9.49784,9.72376
-85.7759,0.967644,0.8402,3,7,0,86.5859,0.477767,-9.80687,9.55534
-86.4981,0.956739,0.8402,3,7,0,87.2924,0.483234,-10.0451,9.59381
-85.2033,1,0.8402,2,3,0,86.595,0.157245,-9.37338,9.61917
-84.0862,0.930936,0.8402,2,3,0,87.0229,0.415662,-9.76943,9.54055
-82.5719,1,0.8402,3,7,0,83.8191,0.331155,-9.69772,9.60379
-83.0887,0.891819,0.8402,2,3,0,83.6505,0.278103,-9.76763,9.43732
-82.9624,0.977858,0.8402,2,3,0,83.6838,0.343664,-9.89057,9.57605
-83.3057,0.941431,0.8402,2,7,0,84.0056,0.337913,-9.58885,9.45164
-82.6337,0.990674,0.8402,2,3,0,83.5363,0.271785,-9.60465,9.53437
-83.224,0.93897,0.8402,2,3,0,83.4481,0.209417,-9.80656,9.75745
-86.1711,0.721599,0.8402,2,3,0,87.4162,0.134309,-9.40917,9.70793
-84.6305,0.955595,0.8402,2,3,0,87.7048,0.430625,-9.73702,9.49122
-84.3401,0.841474,0.8402,3,7,0,87.7441,0.21822,-9.47428,9.93793
-83.4014,1,0.8402,2,3,0,84.4274,0.341131,-9.80411,9.43934
-86.2573,0.755784,0.8402,2,3,0,86.7935,0.360131,-10.2664,9.34187
-84.5877,1,0.8402,1,1,0,86.1063,0.316837,-10.1709,9.42024
-85.2565,0.907095,0.8402,2,3,0,86.987,0.390122,-9.51896,9.99703
-82.8329,1,0.8402,3,7,0,85.2494,0.2376,-9.78029,9.77693
-82.9719,0.979907,0.8402,3,7,0,83.3978,0.337109,-9.95637,9.67105
