# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = normal_mixture_model
# start_datetime = 2023-01-12 11:28:14 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\normal_mixture\normal_mixture.data.R
# init = 2 (Default)
# random
#   seed = 2900780693 (Default)
# output
#   file = examples\normal_mixture\normal_mixturevar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,theta,mu.1,mu.2
# Stepsize adaptation complete.
# eta = 1
0,0,0,0.277626,-9.57532,9.66961
0,-84.6652,-0.278826,0.297088,-9.43937,9.58853
0,-84.3169,-0.461481,0.312615,-9.76114,9.59503
0,-87.7971,-2.882,0.145161,-9.31758,9.67956
0,-86.349,-3.82663,0.274496,-10.2136,9.85841
0,-84.64,-0.39353,0.245494,-9.60774,9.53036
0,-84.6191,-0.463017,0.294424,-9.59854,9.49839
0,-87.613,-3.63743,0.363238,-9.67988,9.21982
0,-85.9312,-2.68558,0.349941,-9.97151,9.40784
0,-86.4936,-1.96707,0.159136,-9.65784,9.77003
0,-85.1176,-0.631899,0.332976,-9.36584,9.71929
0,-84.5742,-1.08294,0.280369,-9.90751,9.55665
0,-86.8992,-2.29882,0.271402,-9.44733,10.0514
0,-84.6214,-0.949934,0.293731,-9.82991,9.50468
0,-85.0592,-1.30335,0.254348,-9.81778,9.44066
0,-86.7433,-2.43266,0.195823,-9.74776,9.9834
0,-85.4845,-1.06425,0.349724,-9.38575,9.51021
0,-87.2813,-2.38748,0.460166,-9.44401,9.70585
0,-87.4697,-3.23234,0.18013,-9.69955,9.30158
0,-84.2699,-0.42472,0.308614,-9.76916,9.6164
0,-85.674,-1.34693,0.185894,-9.67396,9.52361
0,-84.4476,-0.169534,0.241618,-9.63033,9.70768
0,-85.7402,-1.04602,0.187284,-9.47236,9.72248
0,-85.7816,-1.57902,0.198852,-9.701,9.44033
0,-85.9885,-2.6403,0.356228,-9.94106,9.39839
0,-85.3726,-1.38301,0.191078,-9.83606,9.6769
0,-86.1723,-1.5467,0.230875,-9.2033,9.54998
0,-85.0055,-0.766527,0.305528,-9.52795,9.45485
0,-85.3164,-0.731612,0.19738,-9.52538,9.6973
0,-87.3712,-2.96593,0.291622,-9.05012,9.44973
0,-85.3817,-0.815698,0.261666,-9.41928,9.86998
0,-85.4037,-0.753423,0.22018,-9.35074,9.64193
0,-84.6189,-0.779998,0.327495,-9.75935,9.52526
0,-84.3055,-0.0947968,0.303292,-9.58304,9.61782
0,-85.65,-1.61504,0.21186,-9.75463,9.42247
0,-84.998,-0.537483,0.229141,-9.56617,9.813
0,-84.6407,-0.256734,0.23028,-9.56778,9.62037
0,-86.4905,-2.12227,0.441289,-9.68244,9.55143
0,-84.6657,-0.355005,0.320113,-9.49453,9.56659
0,-84.5192,-0.114101,0.288026,-9.46514,9.69074
0,-84.7066,-1.32126,0.297152,-9.95808,9.75322
0,-85.203,-1.88977,0.233178,-10.021,9.74725
0,-85.0494,-1.11053,0.320957,-9.77053,9.87923
0,-84.2681,-0.152588,0.255731,-9.68433,9.64074
0,-85.2072,-2.18709,0.270964,-10.0786,9.76447
0,-84.2022,-0.181755,0.298881,-9.69224,9.62215
0,-86.1416,-1.71403,0.313363,-9.53422,9.99768
0,-87.6656,-3.07199,0.145099,-9.66088,9.88164
0,-84.8664,-0.528236,0.35768,-9.5412,9.71882
0,-88.5737,-4.8969,0.12334,-9.98245,9.6448
0,-84.7973,-0.767871,0.331336,-9.66444,9.49033
0,-86.2237,-4.03915,0.282478,-10.2633,9.55152
0,-87.0245,-2.93591,0.187222,-9.84955,9.97759
0,-86.8876,-2.1255,0.416128,-9.3225,9.80423
0,-84.6267,-0.866958,0.288867,-9.79569,9.49291
0,-86.4923,-2.3616,0.351767,-9.72297,10.0148
0,-84.8345,-0.399966,0.243675,-9.48048,9.5484
0,-85.0275,-0.532705,0.273428,-9.34073,9.59354
0,-90.041,-5.30569,0.449097,-9.38183,9.21863
0,-85.7155,-1.98333,0.402741,-9.89213,9.73377
0,-85.3505,-0.852277,0.24507,-9.38999,9.49081
0,-85.8903,-2.06818,0.336188,-9.74749,9.34523
0,-84.278,-0.57108,0.295011,-9.83397,9.65271
0,-84.7123,-0.858761,0.343176,-9.79339,9.7677
0,-84.6591,-0.189155,0.242991,-9.49958,9.71371
0,-87.1197,-2.38156,0.247616,-9.27115,9.99268
0,-88.8275,-4.56648,0.350196,-8.86424,9.59933
0,-86.5107,-1.8405,0.393545,-9.35468,9.85003
0,-84.7368,-0.492969,0.21719,-9.6744,9.61727
0,-87.4658,-2.89061,0.210827,-9.36634,9.29582
0,-88.6572,-4.18671,0.245291,-8.89528,9.82227
0,-84.2796,-0.564153,0.289384,-9.82944,9.62479
0,-84.9795,-0.456396,0.280802,-9.36252,9.74711
0,-84.4378,-0.0900149,0.249813,-9.55713,9.63762
0,-84.8616,-0.542514,0.347357,-9.55835,9.776
0,-85.52,-2.29044,0.370364,-10.0021,9.5594
0,-85.5651,-1.44384,0.270369,-9.72649,9.96038
0,-85.3543,-0.821586,0.253417,-9.47936,9.88573
0,-85.791,-1.29803,0.200022,-9.6248,9.87556
0,-84.41,-0.0439982,0.270917,-9.51041,9.64963
0,-84.9624,-1.15084,0.37293,-9.81896,9.67804
