# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = trueskills_model
# start_datetime = 2023-01-12 09:10:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2892518430 (Default)
# output
#   file = examples\trueskills\trueskillsMCMC.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,skillA,skillB,skillC,perfA,perfB,perfC
# Adaptation terminated
# Step size = 0.24215
# Diagonal elements of inverse mass matrix:
# 91.8552, 73.689, 83.2152, 164.132, 0.907133, 0.907598
3.74752,0.975384,0.24215,4,15,0,-1.74598,109.313,90.12,106.976,142.709,83.8692,111.35
-3.35438,0.592183,0.24215,4,15,0,6.51107,125.504,110.361,120.682,111.564,92.8411,108.616
-0.0635141,0.768489,0.24215,3,15,0,5.5674,120.316,113.416,107.541,121.157,90.6936,117.972
-1.81867,0.895794,0.24215,2,3,0,2.312,121.162,114.771,108.402,121.701,79.2441,118.543
2.19042,1,0.24215,3,15,0,3.09565,107.19,109.181,104.967,120.738,106.052,117.738
-2.16306,0.997051,0.24215,4,15,0,4.47147,104.776,82.522,107.481,118.843,83.6079,118.797
-3.15926,1,0.24215,4,15,0,4.32025,102.318,110.02,97.9081,104.312,95.1163,104.297
-1.98865,0.999883,0.24215,4,15,0,3.51807,96.5504,104.577,102.22,109.832,97.4104,109.807
-1.31119,0.991847,0.24215,4,15,0,3.16172,106.834,102.98,93.2418,105.849,92.9734,105.788
-1.44411,0.844642,0.24215,4,31,0,5.0601,109.206,94.4486,118.327,105.776,99.359,105.218
4.34254,0.995931,0.24215,4,15,0,2.26327,99.6768,104.273,90.7964,113.114,92.8398,98.5958
4.43631,0.997185,0.24215,4,15,0,-3.95026,98.1924,104.687,93.5654,112.138,94.8116,98.4218
-1.25921,0.904079,0.24215,3,15,0,3.65212,102.731,103.296,68.0168,107.47,87.0064,91.3636
0.349302,0.986397,0.24215,4,15,0,3.3985,98.8514,95.1214,117.774,108.403,105.115,102.169
-1.22095,0.992819,0.24215,4,15,0,4.26529,113.727,123.645,105.979,123.603,106.143,120.316
2.84718,0.99835,0.24215,4,15,0,3.01068,97.1972,91.49,103.217,95.206,86.3089,90.5407
3.36218,0.978837,0.24215,4,15,0,0.664708,103.166,95.4524,99.0451,114.338,103.779,67.1599
-0.995668,0.764715,0.24215,4,15,0,3.71255,97.1258,98.3502,100.641,113.605,109.896,113.236
2.06177,0.994919,0.24215,4,23,0,2.68943,97.1698,95.0721,98.5455,89.0623,85.6645,81.8949
0.162168,0.995291,0.24215,4,15,0,0.912845,99.4723,90.1367,104.149,107.746,106.286,104.771
-0.146592,0.97546,0.24215,4,15,0,2.6198,98.2533,100.334,102.67,87.8703,78.2116,87.269
-0.434311,0.863801,0.24215,4,31,0,2.84925,99.0475,96.8412,96.726,81.8802,73.2621,80.9138
-0.991964,0.982806,0.24215,4,15,0,4.91887,84.6641,94.515,110.204,122.426,79.2621,119.764
-2.96582,0.829456,0.24215,4,15,0,8.62363,109.493,112.69,125.891,107.031,102.737,96.0672
-0.166148,0.990977,0.24215,4,15,0,7.51317,91.4109,86.3016,84.0038,96.5085,95.4687,82.636
4.32474,0.99901,0.24215,4,31,0,1.09544,107.413,101.644,98.9788,119.153,71.701,97.8203
4.89666,0.9986,0.24215,3,11,0,-3.63884,105.653,101.391,95.7826,119.834,103.895,101.362
-0.416905,0.971825,0.24215,3,15,0,2.19368,125.948,112.521,95.9603,121.631,116.676,68.4752
1.37041,1,0.24215,4,15,0,5.24627,116.361,120.619,99.4516,117.678,109.784,85.3665
3.67673,0.997695,0.24215,4,15,0,0.820263,94.7443,102.142,96.4416,113.022,107.779,88.8516
5.08971,0.995106,0.24215,4,15,0,-3.16882,106.738,100.003,98.7892,108.611,93.6945,84.0279
0.155649,0.921656,0.24215,3,15,0,2.54907,110.7,98.0309,114.872,120.691,118.983,98.9156
3.32055,0.996335,0.24215,4,15,0,0.619896,97.4781,95.9884,77.8103,104.417,81.4631,76.0955
-0.107215,0.863772,0.24215,2,3,0,0.602898,100.496,95.0037,78.4805,102.623,68.9257,36.8693
1.43943,1,0.24215,4,15,0,5.81536,116.426,81.6171,115.322,126.484,93.9434,110.198
1.28793,0.971577,0.24215,4,15,0,2.23321,117.507,89.5144,95.9025,110.866,64.943,107.038
-0.303952,0.926262,0.24215,3,7,0,2.17753,120.508,84.9677,94.9538,122.396,94.7627,118.948
1.31,1,0.24215,4,15,0,0.971938,84.8909,101.194,109.102,104.992,97.5853,96.3174
2.41401,0.999983,0.24215,4,15,0,0.451051,101.123,105.468,111.045,104.372,84.9644,100.175
0.362004,0.997642,0.24215,4,15,0,1.69256,89.7555,96.7697,89.1628,95.5489,88.6675,94.6576
-4.98588,0.815762,0.24215,4,15,0,10.9569,95.4587,72.3369,125.185,116.739,93.8816,94.6528
2.85123,0.999918,0.24215,4,15,0,7.99867,100.746,96.89,111.192,101.425,84.1442,96.991
-0.466452,0.918424,0.24215,4,31,0,2.17661,101.107,108.72,117.969,97.9432,82.7946,90.3331
