# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = radar_model
# start_datetime = 2023-01-12 15:29:38 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2915264921 (Default)
# output
#   file = examples\radar\radarvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,bi1,unif.1,unif.2,unif.3,unif.4,unif.5,x1,x2,a1,a2,b1,b2,c1,c2,d1,d2,e1,e2,f1,f2,g1,g2,h1,h2,a,b,c,d,e,f,g,h
# Stepsize adaptation complete.
# eta = 1
0,0,0,0.500421,0.510069,0.495977,0.500755,0.490079,0.478149,4.23601,4.37427,-2.45729,2.41899,-0.507152,0.523131,-2.5116,2.42943,-2.43662,2.4989,-2.41625,2.54834,-0.536313,0.506471,-2.47922,2.44175,-2.51421,2.4675,-0.0383041,0.0159791,-0.0821611,0.0622717,0.132092,-0.0298412,-0.0374681,-0.0467102
0,-23.7953,-9.04643,0.674629,0.306101,0.540972,0.219145,0.769957,0.0450565,6.14995,3.93903,-0.653604,3.55945,-0.833627,0.355027,-2.4376,2.94986,-2.6942,3.43352,-2.95039,2.69794,-0.887906,0.991821,-2.10206,3.89332,-1.55585,3.29133,2.90585,-0.4786,0.512263,0.739312,-0.252442,0.103916,1.79125,1.73548
0,-32.6077,-13.8079,0.276759,0.141537,0.0597027,0.876523,0.0860051,0.209432,5.8555,2.66394,-0.34743,4.24687,-0.242845,0.0610933,-1.86953,4.93945,-1.38639,0.183247,-0.882179,1.92661,-0.473743,0.667584,-0.829857,3.04043,-4.29108,1.46635,3.89944,-0.181751,3.06992,-1.20315,1.04443,0.193841,2.21058,-2.82474
0,-31.8317,-16.7796,0.756933,0.774791,0.471066,0.939063,0.161919,0.649876,4.30329,7.40289,-2.75827,0.11918,-0.214519,0.703295,-2.74073,1.60847,-2.21037,3.87827,-4.22317,4.42664,-0.0942244,0.0726728,-0.532958,2.15128,-0.015203,0.565131,-2.63909,0.488776,-1.13226,1.66789,0.203465,-0.0215516,1.61832,0.549928
0,-39.6717,-16.4663,0.118221,0.762955,0.710288,0.70859,0.306349,0.162757,2.05045,9.03575,-4.2164,2.85877,-0.484682,0.887495,-0.192064,3.28258,-0.253016,1.01782,-3.07012,0.302793,-0.792333,0.035903,-2.19809,0.618181,-0.352589,4.52149,-1.35763,0.402812,3.09051,0.764803,-2.76733,-0.75643,-1.57991,4.1689
0,-27.4818,-10.2894,0.229028,0.659333,0.46923,0.911201,0.566608,0.169076,3.23475,6.02706,-0.183275,0.770376,-0.430573,0.285986,-0.979346,1.62176,-2.01951,4.64971,-3.28062,0.174285,-0.0907237,0.879627,-1.87517,3.0558,-4.61136,1.61352,0.587101,-0.144587,0.642414,2.63019,-3.10634,0.788903,1.18062,-2.99784
0,-27.7759,-14.226,0.595581,0.520688,0.906665,0.0553846,0.895678,0.47747,2.69574,2.50887,-1.48812,3.54729,-0.343662,0.486664,-4.11469,4.71926,-3.39159,3.24115,-3.64391,4.28886,-0.610214,0.505918,-1.70498,0.0212371,-4.60078,4.36369,2.05917,0.143002,0.604564,-0.150437,0.644944,-0.104296,-1.68375,-0.237093
0,-36.5892,-17.3761,0.761856,0.940571,0.0122864,0.504437,0.202495,0.482059,7.89712,2.83871,-3.75263,3.85529,-0.0497619,0.381498,-0.942042,3.9483,-0.111521,0.773316,-0.347011,4.89843,-0.941634,0.744056,-3.84679,3.00629,-3.09098,1.42986,0.102664,0.331736,3.00626,0.661795,4.55142,-0.197579,-0.840498,-1.66112
0,-25.7243,-11.937,0.934738,0.371502,0.872284,0.810764,0.495507,0.237072,2.15341,2.95056,-0.145727,0.754411,-0.091227,0.382464,-2.00502,2.40991,-1.67353,4.18257,-3.38026,2.9248,-0.969962,0.832257,-0.997229,0.242663,-1.87108,3.89461,0.608684,0.291237,0.404888,2.50904,-0.455457,-0.137706,-0.754567,2.02353
0,-24.032,-7.49149,0.334545,0.338012,0.251694,0.19324,0.948284,0.6497,2.52759,4.94675,-2.33889,3.97074,-0.922286,0.918053,-3.47712,4.63343,-4.04858,0.970311,-2.91952,4.34446,-0.504844,0.258564,-2.94273,2.56706,-1.26209,1.93947,1.63185,-0.0042324,1.15631,-3.07827,1.42494,-0.24628,-0.375671,0.677378
0,-33.3331,-15.8374,0.840349,0.926507,0.764781,0.0134598,0.664708,0.24288,5.88925,2.39615,-2.09124,0.155152,-0.730384,0.103696,-1.73854,4.89449,-1.50154,1.34339,-2.64372,1.94367,-0.724855,0.0994104,-0.579352,1.32946,-4.06484,4.89321,-1.93609,-0.626688,3.15595,-0.158157,-0.700051,-0.625444,0.75011,0.828367
0,-32.9219,-13.9957,0.882965,0.939371,0.109268,0.529653,0.208821,0.89298,2.95707,6.2036,-0.529695,3.00403,-0.56192,0.956279,-1.34074,0.334616,-1.25388,4.88981,-3.94538,4.22354,-0.191956,0.858207,-0.441839,0.712932,-4.28805,0.834562,2.47433,0.39436,-1.00613,3.63593,0.27816,0.666252,0.271093,-3.45349
