# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = altermu_model
# start_datetime = 2023-01-12 11:09:56 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\altermu\altermu.data.R
# init = 2 (Default)
# random
#   seed = 2899682674 (Default)
# output
#   file = examples\altermu\altermuvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,mu.1,mu.2,mu.3
# Stepsize adaptation complete.
# eta = 1
0,0,0,-0.0811946,0.0503948,-0.160262
0,-120.005,-0.677171,-0.32375,0.0868239,-0.321488
0,-123.248,-2.34568,0.411948,-0.29093,-0.263506
0,-120.088,-1.88629,0.406111,0.193047,0.0226744
0,-124.604,-1.34221,-0.162264,0.430953,-0.0361546
0,-120.389,-0.867379,0.142344,-0.212489,-0.241105
0,-119.981,-2.75441,0.225146,0.493479,0.0777105
0,-119.989,-2.02921,0.229659,0.469423,-0.0502688
0,-121.904,-1.22008,0.034886,-0.297518,-0.0231311
0,-120.805,-0.488882,0.0288879,0.257683,-0.0713387
0,-120.003,-0.540453,0.0406059,0.294054,-0.194241
0,-133.018,-1.88068,-0.481548,0.346838,-0.00383812
0,-125.47,-3.08591,0.295212,0.409197,-0.473765
0,-121.726,-0.974181,-0.483294,0.129489,-0.198507
0,-123.175,-0.629913,-0.373081,0.168518,-0.0945806
0,-120.004,-0.670456,-0.185497,-0.0544876,-0.359704
0,-121.801,-1.82212,0.341778,0.367283,-0.241695
0,-119.917,-0.304332,0.0280777,-0.0681936,-0.262083
0,-122.731,-1.42597,-0.394046,0.321684,-0.317962
0,-122.84,-1.19714,0.296343,-0.123551,-0.0357339
0,-119.933,-2.10371,-0.518242,-0.211337,0.0393574
0,-123.424,-0.956716,-0.0159505,0.0698873,0.108315
0,-119.888,-0.296755,-0.225377,-0.087291,-0.218165
0,-121.417,-2.19672,0.0998419,0.174425,-0.532436
0,-123.744,-1.37213,0.075769,-0.20172,0.0837358
0,-120.726,-1.66198,0.240492,0.425595,-0.206251
0,-122.384,-1.08493,-0.117744,0.419615,-0.106799
0,-121.351,-1.55579,0.0232696,-0.377972,-0.0664741
0,-119.879,-0.839077,-0.0328292,-0.25001,-0.268645
0,-120.243,-0.158149,-0.0267483,0.184057,-0.187088
0,-121.451,-0.166539,-0.161572,0.164973,-0.108964
0,-119.978,-1.00144,-0.142145,-0.305177,-0.107772
0,-122.834,-1.04617,0.0972709,-0.203116,0.0153672
0,-120.825,-0.194716,-0.185554,-0.0262629,-0.0758047
0,-123.174,-2.634,0.147881,0.292378,0.224015
0,-135.981,-2.9607,-0.42744,0.283016,0.22153
0,-120.134,-0.340404,-0.0498545,-0.162071,-0.168473
0,-123.105,-0.633155,-0.175452,0.0764867,0.0517348
0,-120.711,-1.54177,-0.181717,0.420337,-0.34262
0,-120.218,-1.27244,-0.385995,-0.0389979,-0.388804
0,-130.615,-2.1231,-0.247438,0.416772,0.110828
0,-119.952,-1.50858,0.223883,-0.175518,-0.377071
0,-119.954,-1.23,0.00909111,-0.324443,-0.260937
0,-121.778,-0.564856,-0.17397,0.312722,-0.166632
0,-121.994,-1.97719,0.226107,-0.376813,-0.244025
0,-123.193,-0.899479,-0.304303,0.0398872,0.0600256
0,-122.039,-1.74206,-0.240154,-0.178543,0.146623
0,-131.419,-3.86764,0.565458,-0.390979,-0.218622
0,-120.132,-1.26057,0.363821,0.128627,-0.0584472
0,-121.62,-1.73618,-0.24739,-0.229871,-0.432756
0,-122.795,-1.23691,0.0591708,0.211028,0.109455
0,-128.131,-1.80008,-0.238472,0.217105,0.175653
0,-120.101,-1.34403,0.057579,-0.331862,-0.265174
0,-121.283,-0.227588,-0.269857,0.102995,-0.1285
0,-119.95,-0.808316,0.128266,0.295536,-0.256337
0,-119.953,-0.558858,0.171112,0.216872,-0.132662
0,-126.644,-2.49776,0.303018,-0.41856,-0.111973
0,-119.904,-0.18966,0.018527,0.0244052,-0.260165
0,-120.54,-0.310773,0.140276,-0.0220174,-0.134561
0,-120.182,-0.154552,0.084518,0.0816401,-0.161469
0,-120.357,-0.439999,0.00207926,0.281942,-0.152752
0,-120.961,-4.12758,-0.0124508,0.555395,-0.55074
0,-130.847,-3.01815,0.302763,-0.415806,0.0502277
0,-127.325,-2.95793,0.152158,-0.436462,0.0985526
0,-120.421,-1.09049,-0.126845,-0.291337,-0.0337755
0,-120.022,-1.57811,-0.288256,0.233329,-0.444692
0,-120.282,-0.160835,0.0573633,-0.037172,-0.17014
0,-123.771,-0.993887,-0.350817,0.0725279,0.0535733
0,-122.35,-1.05756,-0.438729,0.0280672,0.00221278
0,-126.883,-1.33732,-0.399086,0.370571,-0.165455
0,-126.21,-2.97814,0.458742,0.352452,-0.385208
0,-122.699,-4.12458,-0.459403,-0.53909,0.0623633
0,-119.986,-2.22511,-0.392199,0.131434,-0.5065
0,-128.202,-5.66837,0.800353,0.225857,-0.406509
0,-120.066,-0.149558,0.0689363,0.0234062,-0.202459
0,-121.353,-0.270781,0.00689278,-0.0143973,-0.0364861
0,-122.268,-0.614811,-0.218433,0.311111,-0.170197
0,-120.051,-2.40566,0.383445,0.277506,0.0945415
0,-120.638,-0.419654,0.00559147,0.265397,-0.109715
