# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = clickgraph_model
# start_datetime = 2023-01-12 08:57:24 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\clickgraph\clickgraph.data.R
# init = 2 (Default)
# random
#   seed = 2891730761 (Default)
# output
#   file = examples\clickgraph\clickgraphvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,simAll,unif.1,unif.2,unif.3,unif.4,unif.5,beta1,beta2
# Stepsize adaptation complete.
# eta = 1
0,0,0,0.498136,0.501042,0.505554,0.495403,0.492408,0.499415,0.597147,0.563806
0,-21.6525,-3.32958,0.734919,0.392471,0.325833,0.0139769,0.53313,0.645065,0.525546,0.754785
0,-21.6442,-2.75123,0.387903,0.898292,0.382978,0.106018,0.120647,0.535679,0.785412,0.514471
0,-23.9073,-3.81236,0.143754,0.801694,0.0469284,0.148026,0.162611,0.70403,0.52737,0.823494
0,-21.8232,-2.87745,0.95786,0.415236,0.355771,0.868391,0.151774,0.302037,0.706413,0.521542
0,-25.9203,-7.25515,0.888511,0.797342,0.959764,0.28376,0.788837,0.99253,0.413606,0.432522
0,-24.5011,-5.36705,0.723618,0.936746,0.439753,0.747707,0.063073,0.14323,0.811876,0.90794
0,-21.4692,-2.22223,0.527835,0.631784,0.792831,0.251979,0.934318,0.383888,0.706149,0.307106
0,-23.9028,-4.28971,0.456966,0.855064,0.925469,0.388204,0.0330232,0.270575,0.421958,0.275699
0,-24.3944,-5.03718,0.969408,0.696813,0.898497,0.927886,0.724183,0.114906,0.426022,0.708587
0,-21.471,-3.82994,0.810301,0.160608,0.578437,0.715623,0.246631,0.1867,0.694424,0.0860585
0,-20.9774,-2.58494,0.25781,0.553119,0.939583,0.135467,0.691345,0.370248,0.723541,0.351226
0,-22.4505,-4.13828,0.00919106,0.517912,0.59623,0.868664,0.737094,0.394262,0.583582,0.665347
0,-22.4419,-3.36583,0.411846,0.604956,0.812096,0.351236,0.866048,0.229736,0.731803,0.929453
0,-22.3296,-4.08627,0.04139,0.750243,0.0349276,0.543166,0.568139,0.610843,0.756704,0.472357
0,-20.5799,-1.84218,0.338995,0.177489,0.481786,0.481788,0.282612,0.744189,0.808815,0.687818
0,-21.8571,-3.18414,0.889925,0.388868,0.908749,0.708629,0.342194,0.753395,0.323168,0.47817
0,-24.7803,-5.57461,0.699501,0.55837,0.943604,0.970214,0.753781,0.856117,0.826651,0.786786
0,-21.9149,-3.34719,0.981283,0.41367,0.870697,0.20978,0.520899,0.301591,0.609331,0.571548
0,-27.0036,-6.09358,0.103667,0.291207,0.0998148,0.875787,0.111174,0.0484528,0.782501,0.169132
0,-26.4612,-5.28705,0.533561,0.515423,0.960552,0.625245,0.0333693,0.45937,0.829736,0.259564
0,-19.8796,-1.76697,0.750046,0.847421,0.281449,0.869806,0.651299,0.695162,0.589245,0.774456
0,-23.9308,-3.46622,0.391325,0.0782683,0.867471,0.74425,0.868235,0.780817,0.495769,0.870548
0,-22.0645,-3.36743,0.0167434,0.665927,0.705126,0.539246,0.707276,0.800794,0.530965,0.384723
0,-21.9693,-2.90776,0.906766,0.470588,0.0823876,0.166645,0.112251,0.526796,0.677853,0.643077
0,-23.9004,-4.92458,0.110513,0.496839,0.0610709,0.660637,0.847472,0.296457,0.249372,0.355006
0,-28.9375,-6.67247,0.23025,0.823187,0.0538616,0.129432,0.956402,0.846396,0.54219,0.946345
0,-24.1955,-5.4887,0.489329,0.697767,0.966271,0.208883,0.924728,0.109244,0.282887,0.550603
0,-21.8453,-2.81111,0.237586,0.252469,0.775309,0.199896,0.635978,0.0476811,0.481538,0.342647
0,-23.2927,-3.59541,0.2805,0.0149113,0.155088,0.362781,0.320976,0.723236,0.600126,0.779082
0,-24.0774,-5.11339,0.157952,0.621519,0.100449,0.879788,0.745333,0.588354,0.208158,0.38057
0,-21.4542,-2.94583,0.698578,0.827026,0.261106,0.796133,0.0353393,0.268028,0.466491,0.571273
0,-20.8584,-3.04317,0.519991,0.0491915,0.256488,0.400911,0.621831,0.40829,0.409378,0.184349
0,-27.2066,-6.93206,0.196653,0.0991288,0.368446,0.961741,0.282411,0.236704,0.751692,0.0477602
0,-26.331,-8.14536,0.0114623,0.373987,0.172369,0.663362,0.28583,0.0206299,0.870187,0.569806
0,-20.9095,-2.14876,0.89017,0.558068,0.753843,0.0878081,0.699414,0.250466,0.491993,0.537529
0,-22.4822,-4.20876,0.646865,0.291285,0.986607,0.634165,0.524131,0.0782568,0.621748,0.676981
0,-28.2827,-6.17715,0.816369,0.0259478,0.179951,0.8183,0.915943,0.828695,0.35916,0.891492
0,-26.3395,-7.44991,0.929652,0.731807,0.621954,0.323199,0.837337,0.77179,0.209725,0.956332
0,-28.5219,-8.79707,0.0120533,0.916875,0.407758,0.360117,0.475263,0.0144039,0.809708,0.893236
0,-24.1146,-4.89587,0.0584678,0.207831,0.833148,0.843589,0.890994,0.122354,0.82903,0.608723
0,-23.9054,-3.85224,0.706829,0.0903426,0.554481,0.301215,0.561405,0.958318,0.506773,0.89779
0,-24.8732,-5.48436,0.41291,0.903371,0.377648,0.587926,0.0244153,0.887312,0.669657,0.935291
