# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = gauss_model
# start_datetime = 2024-03-21 15:26:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 50000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1757963710 (Default)
# output
#   file = examples\randomwalk\gaussMCMC.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,step,x
# Adaptation terminated
# Step size = 1.28819
# Diagonal elements of inverse mass matrix:
# 0.852151
-0.659044,0.854212,1.28819,1,3,0,0.659047,-1.14808,-10
-0.172828,1,1.28819,2,3,0,0.509536,-0.587925,-10
-0.437476,0.910684,1.28819,1,1,0,0.472316,-0.935389,-10
-0.805553,0.877987,1.28819,1,1,0,0.917845,-1.26929,-10
-0.805553,0.793772,1.28819,1,1,0,1.43694,-1.26929,-10
-0.00263781,1,1.28819,1,3,0,0.553359,-0.0726335,-10
-0.316573,0.918558,1.28819,1,3,0,0.325679,-0.795705,-10
-0.00607533,0.959357,1.28819,2,3,0,0.51713,0.11023,-10
-3.30745,0.428655,1.28819,1,3,0,3.45374,2.57194,10
-2.29254,1,1.28819,1,1,0,3.62967,2.14128,10
-2.29254,0.423527,1.28819,1,1,0,4.40811,2.14128,10
-1.21002,1,1.28819,1,1,0,2.21457,1.55564,10
-1.41578,0.92984,1.28819,1,1,0,1.81508,1.68272,10
-0.0108694,0.982885,1.28819,1,3,0,1.06412,-0.147441,-10
-0.60761,0.645977,1.28819,2,3,0,1.76621,-1.10237,-10
-0.113721,1,1.28819,1,1,0,0.441391,-0.476909,-10
-1.00177,0.783406,1.28819,1,3,0,1.28283,1.41546,10
-0.346813,1,1.28819,2,3,0,0.832059,0.832842,10
-2.47471,0.4713,1.28819,1,1,0,2.4863,2.22473,10
-1.10807,1,1.28819,1,1,0,2.23924,1.48867,10
-0.630165,1,1.28819,1,1,0,1.10578,1.12264,10
-0.252892,1,1.28819,2,3,0,0.546084,-0.711185,-10
-0.0747348,1,1.28819,1,1,0,0.201146,-0.386613,-10
-0.0657593,1,1.28819,2,3,0,0.0935539,-0.362655,-10
-0.721023,0.628963,1.28819,2,3,0,2.10078,-1.20085,-10
-0.0712957,0.956912,1.28819,2,3,0,0.745694,0.377613,10
-0.195468,0.957052,1.28819,1,1,0,0.208836,0.625248,10
-0.609243,0.938749,1.28819,2,3,0,0.695349,-1.10385,-10
-0.0191856,0.984659,1.28819,1,3,0,0.495982,0.195886,-10
-0.379101,0.903245,1.28819,1,3,0,0.451013,-0.870748,-10
-0.0845506,1,1.28819,1,1,0,0.28359,-0.411219,-10
-0.171287,0.969802,1.28819,1,1,0,0.191612,-0.585299,-10
-0.351753,0.979398,1.28819,2,3,0,0.3641,0.838753,10
-1.85682,0.587384,1.28819,1,1,0,1.88341,1.92708,10
-0.324466,1,1.28819,1,1,0,1.33564,0.805563,10
-0.073296,0.852464,1.28819,2,3,0,1.07175,0.382873,10
-0.831261,0.76494,1.28819,1,1,0,0.83127,1.28939,10
-0.560988,1,1.28819,1,1,0,0.899934,1.05923,10
-0.487502,1,1.28819,1,1,0,0.697122,0.987423,10
-0.0422767,1,1.28819,1,1,0,0.330105,0.290781,10
-0.378729,0.904508,1.28819,2,3,0,0.501255,-0.87032,-10
