# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = bayes_model
# start_datetime = 2023-01-12 08:49:12 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\bayes\bayes.data.R
# init = 2 (Default)
# random
#   seed = 2891238466 (Default)
# output
#   file = examples\bayes\bayesvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,w.1,w.2,w.3,norm1,norm2,norm3,norm4,norm5,norm6
# Stepsize adaptation complete.
# eta = 0.1
0,0,0,0.00875641,0.00255621,-0.299134,0.251032,-0.109276,0.0564795,0.181374,-0.0878428,-0.103084
0,-14.1299,-5.00016,0.0108848,0.00186643,-0.316919,0.209756,-0.0659147,0.170341,0.146482,-0.0252794,-0.0547488
0,-11.5883,-4.72646,0.0077621,0.00362335,-0.284231,0.573625,-0.0999038,0.0389686,0.29817,-0.0276696,-0.145287
0,-15.532,-5.07292,0.00912625,0.00201615,-0.213457,0.182248,-0.0339255,0.0632403,0.230146,-0.0266494,-0.150096
0,-11.4764,-3.59694,0.00845089,0.0013224,-0.306657,0.315858,-0.427962,0.0250104,0.112473,-0.142175,-0.0880162
0,-12.9563,-5.99541,0.00812177,0.00257403,-0.402906,0.125059,-0.0383286,0.0418837,0.19589,-0.056469,-0.191587
0,-30.0366,-10.1612,0.00839966,0.00238888,-0.326188,0.165596,-0.283961,0.672283,0.28147,-0.114614,-0.0182629
0,-10.2095,-2.59571,0.00892096,0.00147957,-0.320299,0.498996,-0.067817,0.0947358,0.123915,-0.103214,-0.0955549
0,-10.2405,-3.60737,0.00980488,0.00186455,-0.233063,0.49763,-0.0712209,0.0345493,0.228808,-0.066732,-0.0787692
0,-9.91455,-8.99352,0.00888543,0.000651321,-0.429047,0.13058,-0.340218,0.0559057,0.10093,-0.21466,-0.102343
0,-7.41908,-0.572706,0.00900636,0.00260745,-0.297304,0.290548,-0.137608,0.0591263,0.279549,-0.0878706,-0.117575
0,-12.8217,-5.29883,0.00936284,0.00254345,-0.33624,0.295064,-0.0342689,0.0798862,0.0758841,-0.0217735,-0.117145
0,-14.7667,-8.09734,0.00882774,0.00389152,-0.248631,0.528454,-0.0718159,0.00493989,0.242913,-0.226678,-0.0747786
0,-9.50443,-3.19173,0.00888358,0.00115887,-0.301694,0.189088,-0.195571,0.109232,0.170901,-0.0782333,-0.0316633
0,-13.301,-4.59988,0.00975798,0.00311802,-0.270824,0.328688,-0.218401,0.00978724,0.320934,-0.097037,-0.186043
0,-11.7141,-2.17867,0.00925626,0.00325093,-0.267685,0.407639,-0.0682534,0.0641479,0.141953,-0.0389899,-0.133197
0,-11.8805,-3.41717,0.00932527,0.0040431,-0.297311,0.39049,-0.250172,0.0389096,0.181156,-0.0509218,-0.0405995
0,-42.8866,-8.58948,0.0105991,0.00457824,-0.220866,0.136023,-0.233429,0.0189365,0.0661375,-0.111446,-0.117029
0,-18.9869,-6.59431,0.00868187,0.00434332,-0.205679,0.380225,-0.127098,0.0912223,0.0667156,-0.0700636,-0.0485409
0,-9.9335,-2.57282,0.00889223,0.00145093,-0.342709,0.219282,-0.160787,0.0536797,0.112238,-0.0714207,-0.0417211
0,-14.3123,-4.87353,0.00823428,0.0040079,-0.248787,0.192719,-0.0738711,0.19873,0.138192,-0.0235357,-0.0552963
0,-13.9684,-5.28099,0.00719145,0.000829722,-0.320714,0.229847,-0.0623623,0.125721,0.0836107,-0.0363384,-0.048305
0,-9.87955,-7.396,0.00594347,0.000931561,-0.231814,0.143597,-0.0502739,0.0556199,0.11197,-0.211314,-0.0917038
0,-13.6358,-6.00429,0.0105619,0.00290173,-0.321627,0.403427,-0.0368837,0.359561,0.114956,-0.102617,-0.114031
0,-13.0363,-2.56375,0.00970666,0.0040454,-0.318395,0.270432,-0.0864722,0.126312,0.0945753,-0.0893286,-0.140189
0,-8.89405,-2.47685,0.00750102,0.00231191,-0.254786,0.306385,-0.0629677,0.0506506,0.275583,-0.0483105,-0.166899
0,-8.13522,-3.85817,0.00932939,0.00173059,-0.398083,0.28963,-0.0876867,0.0539684,0.217121,-0.24901,-0.132892
0,-10.9419,-2.88206,0.00702244,0.00341426,-0.273871,0.231229,-0.0528965,0.0299903,0.110885,-0.0685245,-0.125208
0,-14.3735,-8.59077,0.00639962,0.0037143,-0.270878,0.1219,-0.0369908,0.356125,0.173062,-0.231557,-0.146514
0,-9.84168,-3.00448,0.00862046,0.00237459,-0.338199,0.341801,-0.0253523,0.0567417,0.242395,-0.0679437,-0.0885383
0,-6.81569,-2.52467,0.00850647,0.00139224,-0.350718,0.253327,-0.251295,0.0420278,0.14708,-0.16113,-0.175176
0,-19.0738,-6.86507,0.0101646,0.00488574,-0.28998,0.247162,-0.0610322,0.228143,0.395154,-0.0910899,-0.326537
0,-10.732,-4.54995,0.00739783,0.00254301,-0.250839,0.263145,-0.0610558,0.189219,0.305941,-0.0912434,-0.290961
0,-13.7112,-2.02303,0.00947287,0.00299089,-0.3071,0.183684,-0.154752,0.0596506,0.184645,-0.100251,-0.286881
0,-17.3919,-7.56598,0.0102193,0.00253171,-0.301537,0.220611,-0.168305,0.0498526,0.0675191,-0.0108242,-0.0521392
0,-23.1873,-4.5076,0.0101283,0.00522707,-0.298277,0.166078,-0.101343,0.0659869,0.248114,-0.139765,-0.250232
0,-9.84427,-2.43452,0.00999356,0.000997972,-0.295972,0.221461,-0.110359,0.115056,0.157675,-0.228689,-0.10051
0,-8.83633,-3.88798,0.00910787,0.00281734,-0.364658,0.302995,-0.119482,0.0116661,0.195528,-0.18787,-0.0567033
0,-12.0079,-3.70692,0.00867132,0.00257479,-0.332976,0.439501,-0.113416,0.33111,0.12908,-0.0668734,-0.11616
0,-13.481,-5.19821,0.00823682,0.00148579,-0.314106,0.355957,-0.251963,0.221967,0.505276,-0.087762,-0.0756023
0,-10.8833,-3.01525,0.00785225,0.00244511,-0.250186,0.487009,-0.0865714,0.0295904,0.116624,-0.0887899,-0.125089
0,-8.39803,-3.17339,0.00657472,0.00334215,-0.313345,0.329688,-0.0887475,0.0705391,0.236622,-0.126297,-0.2105
0,-9.48053,-4.05594,0.00895021,0.000817884,-0.263815,0.341175,-0.170434,0.00992227,0.139646,-0.124862,-0.143797
0,-20.9144,-5.93471,0.00786597,0.00282898,-0.279714,0.201247,-0.260916,0.125379,0.119833,-0.528818,-0.25398
0,-16.2953,-6.98527,0.0085346,0.00069641,-0.276057,0.542246,-0.138308,0.0175989,0.238497,-0.0487585,-0.439375
0,-16.0686,-5.28674,0.00936698,0.00465755,-0.31171,0.107631,-0.159642,0.133591,0.281332,-0.153689,-0.186472
0,-11.9238,-1.82469,0.0095489,0.00271882,-0.321886,0.140335,-0.10155,0.0497298,0.213414,-0.0744264,-0.0612949
0,-7.72182,-1.99986,0.00952841,0.00170378,-0.265621,0.369122,-0.163794,0.0381871,0.291114,-0.092808,-0.0761173
0,-8.74827,-2.8623,0.00822084,0.00204043,-0.342223,0.310997,-0.282508,0.0334686,0.351638,-0.0906409,-0.133219
0,-16.5723,-3.61163,0.00829637,0.0051907,-0.237265,0.202007,-0.126291,0.0581371,0.282285,-0.0960224,-0.0698098
0,-9.84588,-3.84162,0.0087741,0.00270333,-0.325907,0.446662,-0.0275181,0.0945596,0.223549,-0.0408347,-0.121699
0,-10.5149,-2.10274,0.00828089,0.00176492,-0.266752,0.216047,-0.071902,0.0950439,0.0936591,-0.0610169,-0.138315
0,-12.9958,-8.51358,0.00653307,0.00349602,-0.448283,0.188643,-0.104541,0.0833516,0.235649,-0.148342,-0.178942
0,-8.84567,-1.48835,0.00938486,0.00224464,-0.33314,0.390723,-0.119093,0.041021,0.134705,-0.0650495,-0.0778064
0,-8.91186,-3.78638,0.00643044,0.0023843,-0.295526,0.329275,-0.136871,0.0366978,0.205778,-0.193202,-0.0462399
0,-11.4503,-1.93238,0.00922347,0.00339369,-0.308276,0.259098,-0.200511,0.0428211,0.172774,-0.0267899,-0.109719
0,-11.2471,-3.73591,0.00723946,0.0023045,-0.26294,0.210993,-0.194834,0.0607657,0.479916,-0.0743244,-0.0843337
0,-19.6998,-4.97546,0.0105194,0.00286,-0.263613,0.113398,-0.248431,0.0519965,0.319603,-0.0575,-0.0787662
0,-10.1989,-1.70996,0.00824379,0.0022466,-0.282655,0.203631,-0.251677,0.0374675,0.11901,-0.141448,-0.115824
0,-18.1701,-3.05697,0.00966985,0.00275474,-0.223085,0.243851,-0.0568853,0.0580024,0.166234,-0.042008,-0.186142
0,-10.3093,-1.14298,0.00920961,0.00394339,-0.287408,0.371932,-0.0922759,0.0606924,0.17411,-0.0838333,-0.0892051
0,-11.6117,-5.11125,0.00808188,0.00327827,-0.299812,0.432772,-0.196376,0.0122814,0.106062,-0.061925,-0.0384002
0,-23.7256,-4.46476,0.0101908,0.00283116,-0.270943,0.285758,-0.551726,0.0466445,0.234916,-0.0350726,-0.112952
0,-16.3872,-7.37855,0.00657719,0.00070992,-0.353247,0.131212,-0.0918791,0.0117881,0.178678,-0.0627814,-0.0433325
0,-9.98138,-2.22556,0.00877155,0.00340649,-0.359379,0.192918,-0.122401,0.0276492,0.121681,-0.102442,-0.156558
0,-14.4459,-2.68834,0.00856529,0.004425,-0.272384,0.333694,-0.157267,0.0226062,0.114024,-0.0570262,-0.109826
0,-11.9593,-1.079,0.0087946,0.00364589,-0.287875,0.263229,-0.173371,0.0359835,0.129476,-0.12814,-0.113423
0,-8.61717,-3.01523,0.0087709,0.00017913,-0.263543,0.235214,-0.103398,0.0222905,0.288845,-0.104811,-0.0761018
0,-16.9963,-5.46642,0.00890275,5.53678e-005,-0.297868,0.737192,-0.159147,0.0655387,0.187955,-0.126837,-0.124315
0,-20.5826,-4.59799,0.00984971,0.00546208,-0.255649,0.286324,-0.15665,0.0360842,0.251746,-0.049581,-0.0504317
0,-7.92782,-1.41566,0.00850639,0.00340386,-0.340774,0.294633,-0.0646658,0.0998042,0.185019,-0.0946869,-0.155431
